 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.1571392514	0.1115970202	0.05388857086	0.04521902806	0.1236111676	0.188949878	0.3195950884
a20	0.0719937862327	0.225398515398	0.0882378112	0.2835241362	0.1263063752	0.149881898174	0.05465748342
a17	0.113291290141	0.140720800774	0.27790073072	0.3439198714	0.06828709934	0.0296990952467	0.026181132216
a31	0.0666676670757	0.0960531518322	0.21350132022	0.2501316272	0.137564818	0.166494973707	0.0695864502
a39	0.0788860361194	0.194305876979	0.1668425004	0.2781031892	0.12306169	0.082235354158	0.07656536984
a31	0.154913259924	0.0990876163202	0.1161693844	0.16776300294	0.2218247248	0.07257557705	0.16766640438
a20	0.125876873969	0.20812443487	0.1400530934	0.185550136	0.209697056	0.0723754784	0.0583229324
a31	0.123782779911	0.119113704417	0.2286530408	0.0932278872	0.2075360702	0.063856671	0.1638298464
a13	0.193515468949	0.13381024678	0.1203902072	0.1147485774	0.2899218574	0.075337375	0.0722762965
a24	0.0891595878788	0.0706164881	0.2737288142	0.1002253512	0.2787317668	0.0772163674	0.110321615
a46	0.1584818602	0.0925909536	0.178852064	0.0546491784	0.2456968248	0.1273319526	0.1423971704
a31	0.129303436382	0.0963795484	0.1941698654	0.061169005	0.2661573156	0.1169449934	0.13587582488
a20	0.1853442272	0.1271959042	0.0969292382	0.113205184	0.277919084	0.1122808552	0.0871255122
a31	0.09761270491	0.0803315092	0.2519478092	0.1248208702	0.1897612104	0.1222213448	0.1333045916
a18	0.1893945198	0.114146074	0.1450878398	0.1347091152	0.1785044494	0.1147387574	0.12341922374
a20	0.08277174322	0.0817925486	0.263525584	0.1454855306	0.1758638292	0.15156954	0.0989913008
a31	0.1042362752	0.1097719292	0.1986078848	0.1349961146	0.150089354	0.158635062	0.143663382
a11	0.196057894	0.149530478	0.1682425028	0.0866028054	0.120321451	0.1275502212	0.15169462576
a31	0.1075236628	0.1106251472	0.1578063894	0.0930245362	0.1719674	0.19510173	0.163951154
a28	0.245777962	0.179619128	0.1394639358	0.0511963724	0.092623767	0.1116211272	0.17969766354
a41	0.1084158268	0.112337366	0.112198828	0.0903559228	0.172090457	0.195305025	0.209296558
a8	0.158309177	0.1485677288	0.07666786126	0.077021912	0.157834728	0.181761877	0.199836718
a33	0.08330096	0.1211564772	0.083099686	0.1080172406	0.20154193	0.1872919	0.21559177
</S>	0.0895321028	0.132674026	0.0866877402	0.155455576	0.2089990308	0.161360357	0.1652911286
