 	vengono	vestiti	dai	genitori	</S>
a31	0.1788420914	0.1579260906	0.12045609254	0.147942592	0.3948331164
a46	0.0735922776742	0.290209554217	0.27706881758	0.2038842105	0.15524512626
a18	0.172896459681	0.268464394002	0.324664398044	0.0232345415	0.21074020976
a31	0.29530772838	0.30398877676	0.1835761244	0.15399490994	0.06313247224
a11	0.33410861072	0.26939302601	0.16376211938	0.16009483906	0.072641423
a31	0.355426384944	0.202851673152	0.1547422126	0.097757735	0.1892219806
a39	0.290588432	0.30925929108	0.1445028272	0.16972383746	0.0859256132
a31	0.32066530146	0.2975970756	0.2011360846	0.0781516472	0.1024498542
a35	0.236415158	0.285565782	0.1860619588	0.1330436024	0.1589135078
a31	0.172467891212	0.354946032	0.221142686	0.1361396844	0.1153037304
a18	0.1400971578	0.29830497	0.200935955	0.1549420848	0.2057198198
a0	0.096296495108	0.372333954	0.2191370248	0.182969675	0.129262804
a31	0.129585980154	0.46643024	0.1595152692	0.1135085318	0.1309599826
a37	0.053122487	0.282971706	0.2369225232	0.1500525572	0.2769306966
a20	0.07177007512	0.418854344	0.180581334	0.1972206364	0.1315735966
a31	0.0917250754	0.371469172	0.1759149568	0.1491483644	0.2117424412
a41	0.0855961984	0.24819341	0.252553254	0.1731666276	0.2404904972
a20	0.0913387462	0.3312435	0.193830444	0.192723718	0.1908635858
a31	0.1082747434	0.27395322	0.199472153	0.18725252	0.231047346
a20	0.1618507778	0.2084094116	0.235260812	0.195109606	0.1993694046
a39	0.161956736	0.22965841	0.207574422	0.2026061132	0.1982043452
a46	0.187946234	0.196990752	0.203044466	0.19418946	0.217829112
a41	0.215922008	0.206348146	0.202866614	0.162175784	0.212687436
</S>	0.182088222	0.2431471	0.217563346	0.167361355	0.189839988
