 	dove	aveva	per	stare	non	aveva	</S>
a24	0.1037113296	0.1241095626	0.1276887696	0.178552675	0.050387795	0.2526375348	0.1629123078
a20	0.150516264	0.0580650418	0.3026678438	0.3478192614	0.0408003484	0.0707477012	0.0293835627574
a13	0.12773127482	0.0519368792	0.29499263052	0.31488183134	0.106122440198	0.093634547888	0.01070040856
a37	0.12215580732	0.0918351342	0.2151444744	0.3523746494	0.02430138712	0.1623416136	0.0318468938
a24	0.16464042882	0.0685213716	0.205021903	0.3845373382	0.02636881192	0.1264108868	0.02449928056
a31	0.2000947621	0.082558117	0.2134221588	0.2864457912	0.0699713599	0.1163001836	0.03120764448
a20	0.082137530828	0.0621681815728	0.166646058588	0.479382552	0.035006367048	0.151743692096	0.0229155833058
a0	0.225707572422	0.05080104194	0.163564860437	0.3478441132	0.0573680291	0.1223435342	0.03237082592
a20	0.14857721176	0.0571023822	0.13669554931	0.386278464	0.1583059588	0.0702893264	0.04275111618
a31	0.17884448182	0.0650910422	0.1257933442	0.427964742	0.0931388006	0.0679406286	0.04122696804
a8	0.0339379974	0.046283946434	0.0995160504	0.554111106	0.08341308394	0.115650941908	0.067086890031
a23	0.2136330122	0.0798566222	0.1145499768	0.292727514	0.0648102266	0.1189015802	0.11552106026
a38	0.2370964702	0.0842548558	0.1151215022	0.2464789318	0.0661851364	0.1144627522	0.1364003754
a33	0.1602140742	0.0791422987	0.1341530248	0.2855072486	0.0737924246	0.1564541202	0.1107367824
a31	0.189937594	0.1295485058	0.133324877	0.2250318012	0.0577433986	0.1560125046	0.1084013158
a24	0.0751886036	0.0454929102	0.0821568994	0.518344838	0.0664074176	0.1030560276	0.10935326312
a18	0.2793911972	0.1185370126	0.0980713306	0.2377603742	0.097293204	0.0779265538	0.0910203398
a31	0.3033870424	0.109631756	0.1215869416	0.171924246	0.097835253	0.1023859386	0.093248816
a33	0.1489343166	0.07327422926	0.0817625598	0.3652298412	0.0806010417	0.12850075778	0.1216972372
</S>	0.2293356066	0.1172496586	0.112672083	0.2075027068	0.1045665946	0.122730544	0.10594279254
