 	io	non	ho	niente	da	mangiare	</S>
a8	0.143031967634	0.12334256822	0.05981854106	0.1333918816	0.13650840214	0.08353213214	0.3203745116
a31	0.066671809683	0.02631411556	0.193938790752	0.366707171612	0.0912091422	0.14299413425	0.112164868933
a8	0.112311178154	0.05617066136	0.0724376962	0.207966474021	0.158215171716	0.3400260064	0.0528727909072
a20	0.12750782608	0.06869940366	0.0963056734	0.406080974	0.02722160364	0.1783081758	0.095876377316
a31	0.20447340012	0.079597930348	0.16465446408	0.163242332	0.14083474154	0.15784569906	0.0893514222
a14	0.10341354452	0.04001245622	0.13382007846	0.43837512678	0.055624856	0.0671151864	0.16163875536
a31	0.19719438088	0.050560894888	0.2052844759	0.276493466	0.1074513109	0.1102342292	0.0527812048
a13	0.17500090118	0.041821127592	0.20462851	0.283932006	0.1197611076	0.057713789	0.11714251172
a37	0.162528377404	0.030066293588	0.3003864937	0.30540503	0.0861994308	0.05300339164	0.0624110059
a10	0.218774851842	0.036200473848	0.0915190421	0.5282655212	0.0610288084	0.0271026156	0.0371086832
a20	0.213996132674	0.04320167498	0.0674471374	0.526686654	0.0577191795	0.039116067	0.05183317114
a7	0.18232640868	0.0329491709	0.04562562972	0.635040178	0.04123218844	0.02957354148	0.03325286296
a18	0.131976448	0.04995916152	0.072589143	0.592460524	0.05351504734	0.056282571	0.0432171788
a44	0.088955233	0.04107411456	0.0668146793	0.620833534	0.0612875832	0.0768411288	0.04419370222
</S>	0.0760224009	0.0993644802	0.11959381352	0.521609252	0.0556750818	0.08641285926	0.0413221554
