 	non	aveva	dove	a	stare	</S>
a31	0.07464442153	0.1160802526	0.3516936472	0.135325297	0.2740928756	0.0481634938
a8	0.205286692667	0.088172187952	0.290736546	0.03199308384	0.3154606682	0.068350781628
a31	0.0124968656676	0.01396224964	0.428665148073	0.01657396948	0.473864086208	0.05443762904
a28	0.10732472126	0.043566242954	0.40385768054	0.04801122014	0.3865093534	0.01073078908
a37	0.009873805454	0.0342793309	0.3811823482	0.05006643574	0.427039418	0.097558660036
a31	0.16696984484	0.08430570088	0.17860380406	0.1028243924	0.315654618	0.15164162426
a18	0.225820941609	0.059647189	0.1530898034	0.13983683	0.287110032	0.1344951642
a0	0.072683083564	0.030238562904	0.06481791466	0.0469406956	0.5500116096	0.2353081508
a23	0.054709422466	0.0246560905	0.0780718204	0.1561703302	0.45423568	0.2321566624
a8	0.06138868908	0.0585080352	0.121570112	0.229025495	0.403461866	0.1260458182
a31	0.060591379526	0.0805403812	0.1028762586	0.199974466	0.419814794	0.13620270032
a20	0.071616670252	0.06434393066	0.1031629858	0.1915652624	0.4043612112	0.16494993142
a31	0.08642666346	0.1313229562	0.10703763	0.2168633888	0.312519524	0.1458298344
a20	0.1516880151	0.1121234344	0.0846198768	0.1492892064	0.301300346	0.20097910614
a24	0.13285407348	0.1588186178	0.1239786324	0.201930332	0.20443259	0.1779857728
a8	0.177215983472	0.105486962	0.1340345466	0.20939315	0.215147234	0.1587221268
a31	0.188174303394	0.1345361242	0.1413880278	0.1744701328	0.2193895212	0.142041894
</S>	0.1986570806	0.12756236948	0.106586614	0.129390665	0.2553733448	0.1824299368
