 	stava	ancora	cucinando	</S>
ì	0.762841	0.0954185	0.052769	0.0889718
s	0.692204	0.0704896	0.128724	0.108582
t	0.871545	0.0866342	0.0215874	0.0202336
i	0.474525	0.361819	0.109918	0.0537374
g	0.550148	0.170306	0.0996938	0.179852
g	0.115476	0.535435	0.109771	0.239318
h	0.136887	0.253578	0.2056	0.403935
e	0.143448	0.383438	0.141546	0.331568
a	0.11542	0.465372	0.23043	0.188778
n	0.0816552	0.344201	0.245937	0.328206
k	0.0357042	0.625094	0.131069	0.208133
ò	0.0385176	0.312783	0.161787	0.486912
r	0.0691659	0.294029	0.274034	0.362771
a	0.100773	0.22216	0.320636	0.356431
m	0.0479998	0.0781599	0.253965	0.619875
a	0.0244628	0.333327	0.477152	0.165058
r	0.0310301	0.0573443	0.306259	0.605366
è	0.00277231	0.0230352	0.442166	0.532027
o	0.0215734	0.0331098	0.410781	0.534536
n	0.0185166	0.0306761	0.38897	0.561838
t	0.00520517	0.0834362	0.545104	0.366255
a	0.0188404	0.0553607	0.282448	0.643351
</S>	0.016196	0.0381988	0.246145	0.69946
