 	non	sono	andati	</S>
e	0.949505	0.0273752	0.0114909	0.011629
n	0.718561	0.106843	0.0840543	0.0905409
è	0.17558	0.472432	0.0990921	0.252896
c	0.201245	0.720447	0.0484016	0.0299064
h	0.194004	0.404389	0.223614	0.177993
u	0.207996	0.348141	0.19259	0.251273
n	0.0437562	0.172746	0.490431	0.293067
e	0.0329301	0.174004	0.231125	0.56194
p	0.0145684	0.0224141	0.447744	0.515273
a	0.00165772	0.0200948	0.596004	0.382244
m	0.0151104	0.0211049	0.435042	0.528743
è	0.00224989	0.0238846	0.55999	0.413875
n	0.00446056	0.0102335	0.665583	0.319723
a	0.00542449	0.0335638	0.36564	0.595371
</S>	0.0143654	0.0223893	0.358175	0.605071
