 	voglio	che	Maria	viene	domani	</S>
t	0.951337	0.03117	0.00393492	0.00353274	0.00335809	0.00666717
è	0.488039	0.222263	0.0167649	0.034403	0.148573	0.0899574
l	0.603725	0.303466	0.0124462	0.0100959	0.0269315	0.0433361
o	0.143239	0.385368	0.269384	0.0234072	0.0959731	0.0826284
e	0.0750402	0.638971	0.0622842	0.0175006	0.0725937	0.13361
M	0.0500452	0.35392	0.272576	0.0261196	0.0922472	0.205092
a	0.0307355	0.210717	0.614355	0.0794577	0.0265429	0.0381925
r	0.0299359	0.206357	0.269131	0.0720906	0.0667688	0.355717
ì	0.0160804	0.265731	0.454283	0.0551611	0.0796423	0.129102
a	0.0191664	0.290729	0.507585	0.0552393	0.0310872	0.0961928
n	0.0123606	0.0646569	0.595932	0.123093	0.0417227	0.162235
a	0.00536933	0.0491178	0.376136	0.415136	0.069264	0.0849771
r	0.0112526	0.0335772	0.0935472	0.231129	0.147516	0.482978
t	0.00168422	0.00822521	0.10251	0.198677	0.580176	0.108728
i	0.00362772	0.0126436	0.0452094	0.236709	0.345015	0.356795
à	0.000786686	0.00163483	0.00688312	0.0547869	0.783604	0.152304
v	0.00063818	0.00187029	0.00860105	0.0226135	0.827967	0.13831
v	0.000759747	0.0108456	0.0435045	0.0996141	0.507705	0.337572
r	0.00139723	0.00518373	0.0131372	0.0596509	0.498597	0.422034
i	0.0034428	0.0186631	0.045363	0.112443	0.538614	0.281474
</S>	0.00221876	0.00157288	0.00759119	0.0229429	0.757888	0.207786
