 	non	ha	mangiato	mai	un	rustico	</S>
e	0.93124	0.0397709	0.0101273	0.00396316	0.00359493	0.0036649	0.00763876
n	0.598868	0.293727	0.0204084	0.00643691	0.0124524	0.0297408	0.0383667
è	0.177215	0.291866	0.227324	0.03842	0.0183595	0.0547881	0.192028
c	0.228571	0.681476	0.0544507	0.00740969	0.00846446	0.0107451	0.00888301
h	0.128339	0.436409	0.357867	0.0603898	0.00350508	0.00494023	0.00854946
i	0.0843941	0.216599	0.471369	0.110072	0.0407304	0.039803	0.0370333
f	0.0213372	0.0742273	0.773813	0.0925109	0.0093451	0.0166542	0.0121119
a	0.029442	0.0717188	0.373729	0.218813	0.0371566	0.0278434	0.241297
m	0.0271872	0.0484845	0.260608	0.576384	0.0248263	0.0311626	0.0313467
è	0.0160066	0.0265156	0.0586159	0.22704	0.15787	0.056622	0.45733
n	0.0113491	0.0200048	0.108392	0.590136	0.197789	0.0225634	0.0497659
a	0.0239606	0.0571469	0.111206	0.342375	0.103229	0.0598924	0.30219
m	0.0227627	0.0230887	0.0315753	0.161162	0.480482	0.124113	0.156817
à	0.0100872	0.0202445	0.0382313	0.135048	0.361814	0.0758839	0.358691
i	0.0116205	0.0150302	0.0428638	0.185326	0.451353	0.108213	0.185594
è	0.0261235	0.0276146	0.0455709	0.131218	0.309227	0.191869	0.268377
n	0.0119462	0.0157961	0.0436783	0.0998458	0.227175	0.296253	0.305305
a	0.00429181	0.0084436	0.0385477	0.0899898	0.306012	0.157997	0.394717
n	0.0429949	0.0388871	0.0435864	0.0555532	0.128261	0.37668	0.314038
r	0.00338358	0.00712054	0.0227945	0.0670723	0.277327	0.204883	0.417419
ù	0.0114046	0.0098805	0.0102463	0.0148381	0.0580227	0.340159	0.555449
s	0.00583765	0.00612948	0.0119997	0.0294037	0.07911	0.68939	0.17813
t	0.00781384	0.00973691	0.0228659	0.0688335	0.172486	0.312305	0.405958
i	0.0184969	0.0185787	0.0215762	0.0439367	0.0966425	0.257333	0.543436
k	0.0301685	0.0266738	0.0236634	0.0344565	0.0791388	0.468123	0.337776
o	0.00386645	0.00441533	0.00964454	0.039394	0.189017	0.206703	0.54696
</S>	0.0558977	0.0508097	0.0432836	0.0532163	0.0800987	0.271234	0.44546
