 	io	non	so	cosa	è	da	scrivere	</S>
e	0.814142	0.094976	0.0235241	0.0162257	0.00942012	0.00937215	0.011244	0.021096
v	0.626314	0.132439	0.0163151	0.00790262	0.0249591	0.0396512	0.098943	0.0534767
ò	0.202487	0.154797	0.321705	0.0181634	0.0264105	0.0168043	0.0871286	0.172504
e	0.280031	0.568533	0.0741947	0.012049	0.00957169	0.00963319	0.0225187	0.0234685
n	0.212673	0.472083	0.0963498	0.0259162	0.0372281	0.0459535	0.069443	0.0403534
e	0.0700912	0.239673	0.245392	0.174453	0.0212413	0.017652	0.0692933	0.162205
s	0.101468	0.306846	0.293115	0.0884924	0.0325799	0.0276834	0.0871301	0.0626853
s	0.0461304	0.137686	0.196876	0.23766	0.0632377	0.0290348	0.0766631	0.212712
è	0.0568812	0.116566	0.231208	0.256954	0.0711759	0.0303675	0.0780726	0.158775
r	0.0499765	0.134214	0.224016	0.440347	0.0578759	0.0210669	0.019937	0.0525668
o	0.0270784	0.0856011	0.146194	0.379925	0.18577	0.0493326	0.0263209	0.0997783
t	0.0495638	0.0791693	0.197552	0.393723	0.165051	0.040298	0.0231015	0.0515409
i	0.018623	0.0302534	0.105817	0.27003	0.164469	0.0943964	0.0384118	0.278
e	0.0365007	0.0449644	0.0859612	0.202696	0.38262	0.0995213	0.0442911	0.103446
n	0.025342	0.0268245	0.0417783	0.108582	0.486328	0.149476	0.0519304	0.109739
a	0.0107641	0.0373912	0.0946127	0.151393	0.199359	0.244918	0.0669726	0.194589
g	0.0150376	0.015444	0.0163738	0.0211664	0.308978	0.307438	0.0616975	0.253866
r	0.00497044	0.0121038	0.0442684	0.0687616	0.180742	0.361319	0.183234	0.144601
à	0.00692592	0.00715361	0.00759507	0.0123707	0.187839	0.335569	0.162116	0.280431
s	0.00284067	0.00355969	0.00338602	0.0110126	0.0751028	0.105871	0.596592	0.201635
s	0.00415282	0.00574324	0.0128021	0.0361885	0.164419	0.207844	0.398225	0.170626
o	0.00840358	0.00917052	0.0088233	0.0168999	0.117165	0.188594	0.433089	0.217855
</S>	0.00211294	0.00188537	0.00290141	0.00257803	0.0150525	0.0366503	0.789617	0.149202
