 	vuole	vuole	mangiato	caldo	</S>
t	0.976124	0.0143777	0.00292794	0.00254267	0.00402818
è	0.713284	0.188782	0.0126125	0.0462415	0.0390805
l	0.436946	0.496186	0.0190434	0.0375432	0.010281
i	0.158669	0.450453	0.104743	0.0535232	0.232612
t	0.116416	0.699276	0.0550108	0.081421	0.0478758
è	0.0844265	0.168583	0.387372	0.106139	0.253479
l	0.0708791	0.292407	0.5495	0.0349943	0.0522197
i	0.0222623	0.166348	0.297999	0.077019	0.436372
f	0.02402	0.0432886	0.695682	0.160521	0.0764886
a	0.00933199	0.0321341	0.57149	0.0919155	0.295128
m	0.025272	0.0439328	0.185003	0.527847	0.217945
è	0.00747475	0.0214361	0.451069	0.211163	0.308858
n	0.0156512	0.0265791	0.173367	0.441487	0.342916
o	0.00758753	0.0173238	0.0717067	0.186156	0.717226
t	0.0679507	0.0613562	0.110682	0.365875	0.394136
r	0.00577689	0.00524661	0.0356106	0.455071	0.498295
e	0.00694845	0.00699593	0.0317348	0.47334	0.480981
m	0.0167675	0.015736	0.0306234	0.45326	0.483613
m	0.00223126	0.00672218	0.158149	0.569683	0.263215
ò	0.00210092	0.00649607	0.103453	0.546828	0.341122
</S>	0.0119049	0.0115685	0.0459597	0.493219	0.437348
