 	non	ho	cosa	è	da	mangiare	</S>
e	0.944161	0.0248949	0.0145324	0.00326082	0.00296984	0.00384984	0.00633088
n	0.68187	0.173197	0.0375313	0.00815401	0.00986135	0.0415706	0.0478153
è	0.121993	0.201245	0.2188	0.0452508	0.0308516	0.156867	0.224993
c	0.236202	0.537232	0.143073	0.0238719	0.0116807	0.0209397	0.0270013
h	0.0779341	0.321197	0.4501	0.0835815	0.0137152	0.03658	0.0168923
o	0.0376969	0.106491	0.559455	0.154161	0.053555	0.0582753	0.0303656
t	0.0203319	0.0587907	0.585009	0.252261	0.0174834	0.0330331	0.0330903
i	0.024533	0.0423979	0.203791	0.298548	0.154142	0.0814707	0.195118
è	0.0171566	0.0306289	0.114289	0.579081	0.103337	0.0596385	0.0958685
n	0.0100449	0.0190528	0.0840199	0.490721	0.282729	0.0650119	0.0484205
a	0.0068689	0.015445	0.0778577	0.157419	0.303188	0.201561	0.237661
f	0.0118971	0.0132242	0.021688	0.0903491	0.320331	0.346567	0.195943
à	0.00197519	0.00446179	0.0132152	0.0647002	0.167246	0.64969	0.0987125
o	0.00308644	0.00482955	0.0110929	0.0475918	0.0990112	0.722275	0.112113
</S>	0.00498298	0.00493085	0.00636025	0.0252976	0.0543752	0.705462	0.198591
