 	deve	che	entra	da	qui	</S>
è	0.937564	0.0316825	0.0108021	0.00494658	0.00506591	0.00993896
n	0.441109	0.224212	0.0632477	0.0999305	0.115749	0.0557511
g	0.237242	0.437027	0.209387	0.0181977	0.0365558	0.0615894
h	0.0990747	0.261539	0.467736	0.072337	0.0530616	0.046251
i	0.064554	0.337453	0.477405	0.0669704	0.0282834	0.0253342
s	0.0416313	0.181359	0.678557	0.0384021	0.0253371	0.0347143
e	0.0328157	0.0585838	0.540904	0.200205	0.0310674	0.136424
n	0.0514334	0.144412	0.515256	0.181376	0.0331811	0.0743424
a	0.0092976	0.0231336	0.160422	0.485592	0.127887	0.193667
m	0.0330511	0.0779059	0.172743	0.515322	0.0518673	0.149112
b	0.00741821	0.0157397	0.106349	0.355952	0.35136	0.163181
i	0.0123554	0.0348338	0.147185	0.395608	0.279407	0.13061
a	0.00562456	0.0110025	0.0266154	0.115268	0.646119	0.195371
p	0.0055277	0.0064168	0.0167209	0.0468516	0.6542	0.270283
ò	0.000795425	0.0015666	0.0129549	0.0720489	0.806525	0.106109
t	0.00254698	0.00561083	0.0130644	0.0335765	0.786299	0.158902
t	0.00105761	0.00132164	0.0044113	0.0148641	0.73778	0.240565
ù	0.00346681	0.00485084	0.00940889	0.0569672	0.562505	0.362801
</S>	0.00546367	0.00830557	0.0269782	0.0597392	0.629413	0.2701
