 	è	che	stanno	ancora	alzati	</S>
è	0.885557	0.0616599	0.0203235	0.00751863	0.00931851	0.0156225
n	0.604385	0.164701	0.0348981	0.0808686	0.066598	0.0485489
a	0.314726	0.518529	0.0810913	0.0251591	0.0178779	0.0426159
s	0.0981753	0.734642	0.0467866	0.0212669	0.0405064	0.0586227
t	0.0644727	0.411966	0.324321	0.0522766	0.0281062	0.118858
a	0.0736828	0.308982	0.386801	0.0783118	0.0526759	0.0995468
s	0.061192	0.226041	0.529803	0.0299762	0.0445611	0.108427
ù	0.0600302	0.0949961	0.316337	0.132281	0.0783114	0.318044
n	0.052831	0.186126	0.588392	0.0772977	0.0206259	0.0747273
e	0.0280925	0.105952	0.255258	0.0628235	0.0654499	0.482425
a	0.100055	0.172571	0.299266	0.186898	0.0784132	0.162797
n	0.100107	0.112749	0.156938	0.282479	0.0886624	0.259064
k	0.0180837	0.0638904	0.17006	0.341124	0.160634	0.246208
ò	0.0326164	0.0362072	0.0420879	0.127382	0.144837	0.61687
r	0.0173777	0.0416427	0.048763	0.318981	0.336599	0.236636
a	0.0537591	0.0647379	0.113364	0.242979	0.199172	0.325988
o	0.0281882	0.0257205	0.0286409	0.0506684	0.24693	0.619852
r	0.0170229	0.0166596	0.0223916	0.0848458	0.374818	0.484262
t	0.00316972	0.00361507	0.00631741	0.050274	0.722874	0.213749
ì	0.00202774	0.00322265	0.00309659	0.0103774	0.782989	0.198286
</S>	0.00530251	0.0107533	0.0111978	0.0401795	0.628203	0.304364
