 	lo	posso	finire	di	scrivere	</S>
o	0.964041	0.0262272	0.00344478	0.00150599	0.00161871	0.00316193
s	0.469281	0.435376	0.0140647	0.00832739	0.0507619	0.0221896
ò	0.185042	0.457155	0.0274686	0.0131217	0.115666	0.201546
z	0.24161	0.672416	0.0486472	0.00527446	0.0160818	0.0159712
o	0.114296	0.316445	0.220338	0.0478262	0.102783	0.198313
s	0.152539	0.463975	0.111992	0.0437304	0.110221	0.117542
p	0.0658834	0.116665	0.381782	0.0679342	0.101682	0.266054
i	0.0413905	0.135489	0.453798	0.114253	0.0842756	0.170793
c	0.0705063	0.0828369	0.512082	0.0647941	0.104195	0.165586
c	0.0140623	0.0676288	0.500699	0.204509	0.105399	0.107702
è	0.0313287	0.0391099	0.573671	0.216046	0.0495827	0.0902622
t	0.0129422	0.0173504	0.55427	0.351873	0.00857641	0.0549871
s	0.0497959	0.116012	0.522281	0.14272	0.0857513	0.0834403
i	0.041223	0.0487913	0.273216	0.376898	0.154724	0.105148
à	0.0217709	0.0213226	0.0741572	0.694828	0.0848251	0.103096
t	0.0158788	0.0211381	0.188453	0.633095	0.0299123	0.111523
s	0.00673437	0.00820182	0.174623	0.343621	0.194816	0.272003
e	0.0148447	0.0156126	0.0666125	0.269954	0.186649	0.446327
g	0.00450142	0.00453024	0.0153766	0.055873	0.595526	0.324193
r	0.00266706	0.00468168	0.0469376	0.213523	0.546091	0.1861
à	0.00337985	0.00339045	0.00854742	0.0409652	0.730627	0.21309
t	0.00165401	0.0015892	0.00753147	0.0229293	0.847298	0.118998
s	0.00123474	0.00134073	0.0111105	0.0585699	0.754336	0.173408
i	0.00434358	0.00439825	0.0142329	0.054722	0.578848	0.343456
</S>	0.0028092	0.00277988	0.00384757	0.019555	0.69096	0.280048
