 	non	mi	aspetti	non	vengo	</S>
m	0.934574	0.0327085	0.0114188	0.00784624	0.00485438	0.00859762
ì	0.0814722	0.0694147	0.0306195	0.036777	0.0642003	0.717516
m	0.352351	0.546459	0.0515212	0.0165968	0.0202576	0.0128142
e	0.0407319	0.0988525	0.191221	0.0619373	0.0894865	0.517771
m	0.0464017	0.665652	0.193667	0.034436	0.0317673	0.0280763
ì	0.0288735	0.0510081	0.0575053	0.252936	0.173268	0.43641
n	0.0454507	0.311966	0.421369	0.110497	0.0486231	0.0620956
i	0.116948	0.141884	0.162363	0.182481	0.131031	0.265293
e	0.0245192	0.051853	0.0733291	0.274681	0.148866	0.426751
n	0.0218012	0.0327701	0.0779753	0.270752	0.166575	0.430127
è	0.00381309	0.0163922	0.0329989	0.323396	0.438829	0.18457
r	0.0186676	0.0322995	0.0279603	0.177427	0.202169	0.541477
k	0.00445171	0.00992042	0.0169728	0.4199	0.230754	0.318001
o	0.00499938	0.00660621	0.014765	0.374083	0.192173	0.407373
m	0.0468646	0.0489028	0.0484933	0.208944	0.254933	0.391862
e	0.00988492	0.0162727	0.0175536	0.436956	0.244764	0.274569
</S>	0.024491	0.026644	0.0253251	0.21886	0.232823	0.471856
