 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.331849	0.103228	0.0636261	0.0875278	0.152134	0.109779	0.151857
c	0.151194	0.0706572	0.0642575	0.0875966	0.0754036	0.267412	0.283479
h	0.603066	0.21943	0.0250809	0.0217088	0.0222775	0.041893	0.0665444
a	0.695614	0.130275	0.0438633	0.0224994	0.0262201	0.0381628	0.0433657
n	0.617956	0.217858	0.0330045	0.0218858	0.0207902	0.0392186	0.0492868
a	0.556787	0.216623	0.0544632	0.0106781	0.013957	0.0374423	0.11005
a	0.388407	0.29155	0.0483468	0.0255986	0.0224461	0.0512856	0.172366
g	0.254426	0.219031	0.105172	0.0487369	0.0425279	0.0539614	0.276144
o	0.184631	0.0728914	0.207174	0.0830982	0.187335	0.0631147	0.201755
r	0.0804606	0.0738602	0.179186	0.0716545	0.112074	0.0808182	0.401947
à	0.0297357	0.024923	0.153358	0.126975	0.249735	0.159169	0.256104
s	0.0306325	0.0300915	0.196097	0.21923	0.305214	0.0493291	0.169406
o	0.0460898	0.038194	0.171739	0.331346	0.224542	0.0373125	0.150777
o	0.0349537	0.0336245	0.0700198	0.33561	0.279841	0.129089	0.116862
s	0.0220466	0.0197	0.047059	0.171767	0.156214	0.336891	0.246321
s	0.0250701	0.0230313	0.134214	0.131114	0.176323	0.316033	0.194213
o	0.0738757	0.0704503	0.163889	0.25296	0.230144	0.103466	0.105215
m	0.00807811	0.00750517	0.0119574	0.0307407	0.0316635	0.611847	0.298208
ì	0.0215813	0.0184304	0.0966219	0.0745485	0.300959	0.324596	0.163263
k	0.0144314	0.0126253	0.0316765	0.0518459	0.0588364	0.472829	0.357755
a	0.013575	0.00619733	0.0142948	0.0503217	0.0878123	0.504381	0.323418
m	0.00984065	0.0067713	0.0108998	0.0180015	0.0178955	0.444348	0.492244
è	0.0204457	0.0111772	0.0653325	0.0970535	0.176004	0.412976	0.217011
r	0.00781784	0.00617614	0.0206813	0.0467045	0.0537342	0.456834	0.408052
i	0.00662166	0.00546399	0.0114188	0.0229413	0.023953	0.362591	0.56701
</S>	0.00614722	0.00527953	0.0157098	0.0218403	0.0258125	0.358462	0.566748
