 	ho	cosa	a	fare	</S>
è	0.897954	0.0675877	0.00833946	0.0130996	0.0130191
c	0.438976	0.350876	0.0785489	0.0510251	0.0805742
h	0.130577	0.72957	0.0804863	0.0174002	0.0419663
o	0.120661	0.622882	0.133251	0.0533249	0.0698807
t	0.0591013	0.719202	0.121013	0.0349892	0.0656946
i	0.0482899	0.14142	0.365589	0.0608634	0.383838
k	0.0160478	0.0575491	0.667983	0.121588	0.136832
à	0.0112483	0.023044	0.358069	0.436933	0.170705
i	0.00659361	0.020981	0.191295	0.615828	0.165302
</S>	0.00680723	0.0078023	0.0663646	0.726559	0.192467
