 	il	dito	si	gonfiò	</S>
o	0.955524	0.0346608	0.00276837	0.00251734	0.00452939
d	0.724501	0.197154	0.00839628	0.0393605	0.0305882
à	0.122865	0.62239	0.0393448	0.0676177	0.147783
t	0.15764	0.806801	0.0104875	0.0189015	0.00616957
t	0.0486865	0.553617	0.252519	0.0432517	0.101926
i	0.041935	0.336599	0.437774	0.0859562	0.0977357
l	0.0350178	0.161378	0.652733	0.0583866	0.0924838
o	0.0114988	0.0503353	0.454074	0.1193	0.364792
è	0.0182969	0.0551884	0.429033	0.246986	0.250495
p	0.0077286	0.0284415	0.202339	0.595108	0.166383
r	0.00153664	0.0107172	0.0652726	0.763023	0.159451
i	0.0067256	0.0154321	0.0497516	0.636817	0.291274
m	0.00550168	0.00781603	0.0152321	0.793092	0.178358
m	0.00215532	0.00821247	0.0615543	0.652952	0.275126
è	0.00177779	0.0109289	0.034883	0.677641	0.27477
n	0.00802274	0.023363	0.0324623	0.592934	0.343217
o	0.00733311	0.0133074	0.0441188	0.482452	0.452789
</S>	0.010252	0.0111361	0.0281965	0.458045	0.492371
