 	io	non	ho	niente	da	mangiare	</S>
e	0.867023	0.068442	0.0214039	0.011961	0.00756324	0.00795938	0.0156478
v	0.635905	0.14942	0.0161085	0.015091	0.0439152	0.0774117	0.0621481
ò	0.305415	0.202607	0.0339182	0.0392118	0.0402176	0.12701	0.25162
e	0.302062	0.571813	0.0301524	0.0295848	0.00930111	0.0248167	0.0322701
n	0.204754	0.483813	0.0700925	0.0381017	0.0499424	0.0833405	0.0699556
è	0.0534162	0.213113	0.385879	0.0587969	0.0497229	0.0668558	0.172217
c	0.0966631	0.28528	0.434295	0.0763516	0.0142892	0.0309387	0.0621825
h	0.0508992	0.156734	0.237066	0.335191	0.0247182	0.100467	0.0949251
o	0.0577479	0.102951	0.186061	0.380041	0.0941392	0.0984317	0.0806278
t	0.0286534	0.046211	0.296987	0.473641	0.0137543	0.0507469	0.0900063
ì	0.0170157	0.0215445	0.0719954	0.337496	0.110622	0.0918421	0.349485
p	0.0253346	0.0370189	0.165582	0.486136	0.044297	0.0560085	0.185623
o	0.00768696	0.0187135	0.0636542	0.220175	0.160944	0.33477	0.194057
t	0.0176851	0.019276	0.0615183	0.308862	0.175233	0.202522	0.214904
i	0.00987176	0.0140176	0.0389178	0.124186	0.294347	0.202099	0.31656
n	0.0056476	0.00579941	0.0112486	0.0344746	0.254839	0.477416	0.210575
a	0.00398963	0.0069995	0.0170371	0.0623598	0.369678	0.402734	0.137202
f	0.00288044	0.00288913	0.00407394	0.00892064	0.17396	0.642811	0.164465
à	0.000949498	0.00162428	0.0048665	0.044768	0.195131	0.680053	0.0726078
o	0.000959731	0.00102192	0.00304891	0.00963956	0.0396062	0.823593	0.12213
</S>	0.00292548	0.00244547	0.00370608	0.00861805	0.0680833	0.695422	0.218799
