 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.806858	0.0404786	0.0231267	0.0211502	0.0203115	0.0203094	0.0254166	0.0423492
t	0.409472	0.0531746	0.0309896	0.0478282	0.0475461	0.0769235	0.209334	0.124731
e	0.424872	0.295671	0.0798908	0.0267373	0.0173056	0.0228235	0.0500816	0.082619
l	0.416313	0.133612	0.0672375	0.0705204	0.0334919	0.0421158	0.0874062	0.149303
a	0.0517362	0.587992	0.233972	0.0201091	0.0111145	0.0164897	0.0273559	0.0512297
e	0.10992	0.296783	0.0732561	0.0667293	0.0316413	0.0358021	0.0661378	0.319731
M	0.0214227	0.54897	0.217229	0.0311925	0.0160136	0.0139872	0.0263002	0.124885
a	0.071472	0.522711	0.265083	0.0321349	0.020662	0.0365974	0.018374	0.0329664
r	0.0359499	0.445502	0.154904	0.0362139	0.0457551	0.0281749	0.0365119	0.216989
ì	0.0406896	0.413721	0.31635	0.0385342	0.0184182	0.0268355	0.0364047	0.109046
a	0.0485087	0.421001	0.375701	0.056797	0.0205781	0.0103858	0.00990146	0.0571261
à	0.0124842	0.384166	0.382899	0.0922183	0.0284176	0.00835358	0.0115424	0.0799189
v	0.0146462	0.270951	0.364666	0.157475	0.0703693	0.0193877	0.0113049	0.0911992
v	0.00826752	0.249302	0.173994	0.136689	0.139565	0.0897252	0.0677366	0.134721
r	0.015155	0.122407	0.16021	0.146762	0.114371	0.164144	0.0486081	0.228343
i	0.0102495	0.0861309	0.12742	0.263992	0.163968	0.12966	0.0310098	0.18757
n	0.00598005	0.053629	0.0774013	0.259468	0.240281	0.117905	0.0318272	0.213508
a	0.00952698	0.147729	0.116152	0.112885	0.224295	0.258658	0.0457965	0.0849569
r	0.00540425	0.0217895	0.0241672	0.108633	0.153066	0.214537	0.069439	0.402964
t	0.00298558	0.0466189	0.0702654	0.134355	0.153223	0.242934	0.211067	0.13855
i	0.00334288	0.0208361	0.0197847	0.0920527	0.229046	0.179826	0.157427	0.297685
s	0.00174221	0.00596066	0.00566044	0.019723	0.0526491	0.129146	0.529187	0.255932
e	0.00189503	0.0204988	0.0277982	0.0694489	0.0886971	0.150907	0.414255	0.226499
m	0.000780713	0.0026125	0.00236946	0.00556749	0.0181079	0.0584374	0.759622	0.152502
è	0.00776751	0.174661	0.102083	0.0845989	0.124547	0.252771	0.108208	0.145363
n	0.000526517	0.00411671	0.00376726	0.00697907	0.0143612	0.0451937	0.773425	0.151631
a	0.00337053	0.00981709	0.00885309	0.0244485	0.0780489	0.224245	0.438922	0.212295
</S>	0.00464113	0.00469548	0.00591508	0.00907119	0.017327	0.0848124	0.711917	0.161621
