 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
e	0.971738	0.0119816	0.00250179	0.00215589	0.00216473	0.00217414	0.00243098	0.00485235
m	0.680506	0.113476	0.0101844	0.00422009	0.0338809	0.0484032	0.0562865	0.0530434
a	0.21663	0.390979	0.115604	0.00912341	0.0192902	0.0328576	0.0542161	0.161299
r	0.243137	0.322738	0.0677562	0.0053203	0.0466327	0.0901867	0.117121	0.107107
a	0.0905987	0.497461	0.194863	0.00415955	0.0155008	0.0160061	0.0343909	0.14702
n	0.0761972	0.540671	0.140796	0.00322201	0.0207133	0.0311297	0.0602266	0.127044
g	0.0635246	0.360011	0.270363	0.0156902	0.0233092	0.0201999	0.0869656	0.159936
i	0.0766242	0.470113	0.185929	0.0071562	0.0250205	0.0472693	0.0635609	0.124327
à	0.0870153	0.210133	0.313268	0.00498005	0.0277822	0.0632035	0.0793839	0.214234
n	0.0599599	0.280867	0.467648	0.0194627	0.031075	0.0231111	0.0305042	0.0873723
e	0.0406003	0.189904	0.260041	0.168209	0.0353332	0.0304269	0.0546814	0.220804
è	0.146298	0.212481	0.348642	0.0546442	0.0324277	0.0408789	0.0566037	0.108024
n	0.0828734	0.15516	0.285427	0.238776	0.0734689	0.03465	0.0278318	0.101813
e	0.0346422	0.137015	0.186979	0.3057	0.0348776	0.0304811	0.0405816	0.229724
s	0.143071	0.161188	0.202488	0.231656	0.0323209	0.032907	0.0486078	0.147762
e	0.0655602	0.0738601	0.093568	0.26036	0.070451	0.0319906	0.039988	0.364222
g	0.0946665	0.110379	0.145411	0.270975	0.0693249	0.030126	0.0434242	0.235693
i	0.0226369	0.0687228	0.121134	0.319248	0.0660778	0.0924508	0.109885	0.199845
r	0.0781752	0.0841417	0.0989167	0.149467	0.0700137	0.0302664	0.0590764	0.429943
è	0.0337244	0.0425001	0.0611936	0.23794	0.156446	0.0671685	0.0566718	0.344356
t	0.026736	0.0622676	0.0857074	0.124486	0.340679	0.0855086	0.0221014	0.252514
s	0.0112769	0.0144423	0.0227403	0.160831	0.208808	0.121249	0.0739374	0.386715
i	0.0122438	0.0191022	0.0290311	0.0283215	0.313464	0.205033	0.0564261	0.336379
d	0.0111156	0.0155051	0.0234445	0.0163154	0.280777	0.288816	0.0774541	0.286572
ò	0.00613968	0.0142059	0.0425846	0.10349	0.141078	0.269237	0.229463	0.193802
p	0.00841881	0.0172869	0.0255235	0.0296182	0.289202	0.351393	0.0760057	0.202552
u	0.00334838	0.00633693	0.0165835	0.0559841	0.157519	0.266175	0.336452	0.157601
e	0.0106818	0.0142301	0.0213501	0.0113298	0.148764	0.313898	0.212449	0.267297
m	0.0091188	0.00646505	0.00792752	0.0141727	0.133758	0.315281	0.19764	0.315637
a	0.01555	0.0902471	0.213374	0.160024	0.090393	0.203316	0.11515	0.111945
r	0.00451951	0.0047315	0.00693223	0.00441425	0.0457795	0.130105	0.576858	0.22666
è	0.00281744	0.00366064	0.00609331	0.0276539	0.126758	0.238679	0.42409	0.170247
i	0.00154332	0.00245016	0.00365793	0.00241358	0.0321476	0.0591808	0.696858	0.201748
</S>	0.00555748	0.00340835	0.00395749	0.00652133	0.0742933	0.139282	0.50265	0.26433
