 	il	ladro	è	entrato	da	qui	</S>
o	0.956813	0.0285828	0.00527879	0.00198136	0.00177511	0.00185517	0.00371365
l	0.605369	0.269897	0.0201331	0.0146721	0.0166552	0.047302	0.0259722
à	0.150195	0.4758	0.0380434	0.0482843	0.0244651	0.115512	0.1477
d	0.146377	0.796996	0.0194392	0.0133859	0.00697241	0.00891567	0.00791418
r	0.0633871	0.307695	0.36558	0.0901748	0.0226525	0.0320724	0.118439
o	0.0402795	0.2959	0.491507	0.0925018	0.018995	0.0295083	0.0313079
i	0.0376524	0.155294	0.594855	0.0866122	0.0255452	0.0284498	0.0715917
m	0.0309018	0.0549778	0.602843	0.179915	0.038873	0.0302697	0.062219
b	0.0215263	0.022776	0.159552	0.421119	0.133062	0.0486509	0.193314
ì	0.0122967	0.0328913	0.397765	0.349313	0.110778	0.026269	0.0706871
k	0.00855075	0.0606417	0.32902	0.401904	0.132218	0.00911546	0.0585503
e	0.0214857	0.0604933	0.143538	0.424061	0.114562	0.0449619	0.190897
a	0.00809059	0.0117477	0.0642046	0.40334	0.393286	0.0633306	0.0560003
p	0.0124872	0.0135238	0.0455546	0.222209	0.360912	0.171912	0.173402
ò	0.00183993	0.00268355	0.0151194	0.0946293	0.172886	0.615873	0.0969683
t	0.00198243	0.0036802	0.0100706	0.0342831	0.0664291	0.775552	0.108003
t	0.0017791	0.00206023	0.00770849	0.0448715	0.0752325	0.733345	0.135004
u	0.00437737	0.00516648	0.0124449	0.070307	0.1294	0.596446	0.181859
</S>	0.0046723	0.00329361	0.00455899	0.0218579	0.0447777	0.614127	0.306712
