 	sono	stato	sempre	poveretti	</S>
ì	0.900902	0.0612462	0.0146579	0.00752245	0.0156715
m	0.686143	0.0636325	0.076655	0.110931	0.0626383
e	0.111668	0.368641	0.118595	0.0383947	0.362701
s	0.152389	0.681693	0.0472204	0.0418755	0.0768227
t	0.120394	0.590731	0.140388	0.0524581	0.0960279
a	0.0852629	0.437435	0.261759	0.0814919	0.134051
m	0.0798236	0.608393	0.0796257	0.061178	0.17098
m	0.0277673	0.161435	0.600662	0.0797331	0.130403
è	0.0215149	0.368866	0.46251	0.0692463	0.0778626
n	0.0922425	0.715728	0.101121	0.0266626	0.0642458
a	0.224801	0.312849	0.100123	0.107963	0.254264
p	0.109737	0.164773	0.374758	0.111942	0.23879
à	0.0126498	0.0256306	0.525697	0.212103	0.223919
n	0.0279011	0.0989508	0.535324	0.0894832	0.248341
t	0.0203454	0.0592107	0.436337	0.2152	0.268907
a	0.0282899	0.0337811	0.284457	0.273565	0.379907
t	0.0173437	0.0184052	0.113456	0.365013	0.485782
e	0.00744923	0.00956478	0.131168	0.603539	0.24828
c	0.00965889	0.0166249	0.0583357	0.488942	0.426439
h	0.00130652	0.00599987	0.104972	0.793672	0.0940493
ù	0.00685085	0.00796362	0.0872318	0.645777	0.252177
d	0.00577936	0.010219	0.0701608	0.526659	0.387182
d	0.000722147	0.00148206	0.0659679	0.800684	0.131144
h	0.00714313	0.0112076	0.0987986	0.543332	0.339518
i	0.00932474	0.0122793	0.0990349	0.467146	0.412215
</S>	0.0112493	0.00798427	0.0488305	0.318296	0.61364
