 	le	canzoni	più	belle	sono	scritti	nella	notte	</S>
t	0.942414	0.0381951	0.00462317	0.00230014	0.00204567	0.00203329	0.00204272	0.0020667	0.00427969
a	0.535412	0.306179	0.0309825	0.0107725	0.0170911	0.00790827	0.0200507	0.0350354	0.036568
t	0.195501	0.622557	0.0453663	0.0159347	0.0147908	0.0126348	0.0165663	0.0461273	0.0305217
r	0.10578	0.344755	0.0925692	0.0321327	0.0479896	0.00800541	0.0252315	0.0786237	0.264912
a	0.141088	0.719386	0.0323149	0.0136161	0.0107149	0.00502654	0.0115119	0.0337994	0.0325419
v	0.109626	0.555023	0.0702031	0.0295012	0.0229373	0.010762	0.0245812	0.0739953	0.103371
ù	0.0335234	0.126317	0.475755	0.0847813	0.0404814	0.0237289	0.0162297	0.0738982	0.125285
d	0.117221	0.647901	0.11536	0.0303609	0.0280378	0.00811809	0.0123323	0.0155877	0.0250808
i	0.0231916	0.111905	0.512214	0.158668	0.0340425	0.0378297	0.00758339	0.0174304	0.0971356
a	0.0407428	0.188254	0.527075	0.0801492	0.0444103	0.0191983	0.0148951	0.0294533	0.0558223
p	0.0347718	0.0479847	0.468784	0.258163	0.0626505	0.0423275	0.0132473	0.0225823	0.0494889
l	0.00865612	0.0194851	0.230007	0.313834	0.0810382	0.20373	0.0192165	0.0429715	0.0810616
è	0.0410935	0.0449626	0.210022	0.244488	0.121138	0.0534717	0.035421	0.0463307	0.203073
o	0.00997971	0.0281799	0.291169	0.440791	0.0787172	0.109666	0.00759307	0.00758466	0.0263207
n	0.014657	0.0190804	0.160037	0.487453	0.137244	0.139071	0.00973605	0.0118398	0.0208824
ò	0.00976503	0.027285	0.215046	0.252835	0.135742	0.0932779	0.0166327	0.0374912	0.211926
r	0.00881861	0.0210684	0.0977896	0.357026	0.157915	0.290718	0.0155477	0.0113211	0.0397961
r	0.00744831	0.0111048	0.215099	0.346616	0.168803	0.131138	0.0201812	0.0227858	0.0768242
i	0.010349	0.0152406	0.0712307	0.311717	0.238591	0.195109	0.0459151	0.0452221	0.0666251
a	0.00912224	0.0168811	0.0460174	0.187095	0.339678	0.215524	0.0801403	0.0483499	0.0571913
è	0.00965906	0.0106732	0.0452809	0.178606	0.266629	0.285841	0.077553	0.0458471	0.0799101
r	0.00593703	0.00829872	0.056534	0.174828	0.201591	0.306007	0.125032	0.045201	0.0765715
k	0.00399101	0.00540757	0.0738121	0.208678	0.214371	0.197482	0.0865715	0.0799728	0.129714
u	0.00983051	0.0103679	0.0379352	0.203323	0.257622	0.15821	0.0546306	0.0485689	0.219511
t	0.00990558	0.0102912	0.0266095	0.0566763	0.169266	0.139916	0.288034	0.12246	0.176842
t	0.0111671	0.0115002	0.0269149	0.0631154	0.11223	0.156834	0.180416	0.115153	0.322669
e	0.00711928	0.00747628	0.0206845	0.0467975	0.104038	0.119381	0.339702	0.104112	0.250689
g	0.00564075	0.00596126	0.0167205	0.0261677	0.0678387	0.0603562	0.324161	0.231872	0.261281
r	0.00280885	0.00419658	0.0248474	0.0663133	0.0874063	0.0770684	0.323969	0.270534	0.142857
a	0.00500398	0.005306	0.0142529	0.0251631	0.0655188	0.0607363	0.255631	0.269177	0.299212
m	0.00431922	0.0037894	0.0101222	0.0152231	0.0366997	0.0258654	0.222503	0.323101	0.358378
m	0.00353695	0.00761335	0.0592634	0.10434	0.115383	0.107501	0.299676	0.212609	0.0900774
è	0.0031654	0.00758764	0.0343569	0.0983687	0.127313	0.145352	0.311129	0.160956	0.111771
n	0.00667342	0.0101327	0.0596056	0.0722705	0.0824976	0.100908	0.207486	0.259385	0.201041
a	0.00535105	0.00688421	0.0191023	0.0225906	0.0249784	0.0356445	0.140791	0.248913	0.495744
s	0.0157879	0.0116572	0.0156834	0.0299596	0.0450905	0.0397728	0.0983838	0.266394	0.477271
i	0.00381744	0.00307214	0.0043642	0.00707815	0.0163808	0.0109492	0.121297	0.526006	0.307035
n	0.00529899	0.00392599	0.0068696	0.00823715	0.0143682	0.00996784	0.0808226	0.518325	0.352185
ì	0.00112924	0.00127537	0.00847461	0.0285043	0.0423514	0.0361482	0.224089	0.518912	0.139116
t	0.00277328	0.00294905	0.00892928	0.0161601	0.0318622	0.0174374	0.0809151	0.623552	0.215421
t	0.00195387	0.0019708	0.00495357	0.010527	0.0190535	0.0201138	0.0925784	0.611391	0.237458
a	0.00557782	0.00554542	0.00847913	0.013118	0.031401	0.0148881	0.097265	0.544996	0.27873
</S>	0.00843291	0.00642799	0.00756227	0.00945724	0.0190085	0.0110173	0.0509699	0.529131	0.357993
