 	mia	figlia	vuole	andare	</S>
i	0.934957	0.0353975	0.00769365	0.00774173	0.0142103
k	0.817873	0.0662271	0.00766372	0.0434958	0.0647404
i	0.236712	0.506155	0.00793208	0.093498	0.155703
a	0.771512	0.0640731	0.00755638	0.0706939	0.0861645
t	0.41517	0.375306	0.00758784	0.062029	0.139907
è	0.159027	0.500646	0.0193858	0.100289	0.220652
r	0.442739	0.475263	0.00852893	0.0295053	0.0439642
a	0.224496	0.524909	0.0678634	0.0516821	0.13105
m	0.209167	0.579928	0.0620656	0.0545143	0.0943252
u	0.0252259	0.10602	0.259219	0.171448	0.438087
i	0.143259	0.286815	0.260565	0.111101	0.19826
t	0.0931449	0.13192	0.434997	0.110213	0.229725
è	0.0239209	0.0603122	0.275745	0.172435	0.467588
l	0.0533078	0.0757781	0.481911	0.126016	0.262987
i	0.012769	0.096564	0.203351	0.27378	0.413535
n	0.0469784	0.0394847	0.0953332	0.399064	0.41914
a	0.0123339	0.0796222	0.2028	0.349063	0.356181
p	0.0234001	0.0148533	0.0332068	0.444076	0.484463
à	0.0019745	0.00848647	0.0487917	0.84151	0.0992371
i	0.00715604	0.00764405	0.0252987	0.778854	0.181047
</S>	0.0153246	0.010399	0.0288939	0.620231	0.325152
