 	non	sono	ancora	vestita	</S>
e	0.937479	0.0397275	0.00753104	0.00518476	0.0100779
n	0.762584	0.135065	0.0145994	0.0288748	0.0588774
ì	0.203546	0.497967	0.057757	0.0361005	0.204629
m	0.227787	0.723136	0.0223989	0.0133165	0.0133613
e	0.0363444	0.149064	0.145383	0.0666524	0.602556
a	0.0646862	0.548462	0.281357	0.055809	0.0496855
n	0.0652302	0.137368	0.621346	0.0683836	0.107672
k	0.0148337	0.100725	0.521964	0.0615557	0.300921
ò	0.0285545	0.0387604	0.276397	0.119728	0.53656
r	0.0222687	0.0635033	0.45938	0.172694	0.282154
a	0.070746	0.177494	0.266735	0.228656	0.256369
e	0.0422426	0.0390267	0.0842911	0.358869	0.47557
n	0.0276047	0.0282929	0.0578694	0.546863	0.33937
d	0.00318791	0.014854	0.16595	0.401282	0.414726
i	0.00969054	0.0103713	0.0338797	0.427522	0.518537
m	0.0157186	0.0190418	0.0476005	0.38955	0.52809
è	0.00291174	0.00899042	0.16021	0.525144	0.302744
n	0.00731079	0.00718126	0.0144323	0.50048	0.470596
i	0.00229618	0.00485491	0.0213405	0.437161	0.534348
</S>	0.0188644	0.022047	0.0357165	0.424517	0.498856
