 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
o	0.948124	0.0271724	0.00732227	0.00418676	0.00191681	0.00181224	0.00180912	0.00181866	0.00193354	0.00390461
l	0.557197	0.264793	0.0202302	0.0250331	0.00990209	0.0137632	0.0167449	0.02442	0.0334871	0.0344293
ì	0.134465	0.452594	0.0696164	0.0258302	0.0336059	0.0163631	0.0103223	0.0174405	0.116588	0.123175
k	0.208049	0.666902	0.0448476	0.0241771	0.0118681	0.00612941	0.00641226	0.00758687	0.00922163	0.0148058
o	0.0748096	0.289389	0.22377	0.213864	0.0629139	0.0140316	0.0120632	0.0137297	0.0265105	0.0689184
e	0.048493	0.353748	0.309399	0.0687695	0.0537936	0.0183532	0.0161481	0.016464	0.0299465	0.0848851
n	0.0494492	0.11116	0.340063	0.153607	0.081424	0.034615	0.0219825	0.0215796	0.0444619	0.141659
p	0.0177416	0.11291	0.245572	0.407669	0.0480011	0.021154	0.0105189	0.0174242	0.030777	0.0882327
r	0.0287228	0.0427897	0.215797	0.376693	0.140571	0.0398662	0.0180834	0.0256464	0.0407358	0.0710949
a	0.0164364	0.0290315	0.158968	0.555697	0.1207	0.0287824	0.01153	0.00877536	0.0171868	0.0528927
t	0.022402	0.0354242	0.145046	0.479717	0.144632	0.0385858	0.0177371	0.0106413	0.0259524	0.0798622
ì	0.0163735	0.0193831	0.108191	0.438271	0.177798	0.0605558	0.0327526	0.0117239	0.0208555	0.114095
m	0.0138859	0.0387814	0.17608	0.395883	0.226961	0.0410962	0.028144	0.00618511	0.00855527	0.0644284
à	0.00870286	0.0491854	0.129297	0.267108	0.165398	0.0927706	0.0730652	0.0186191	0.0358133	0.160041
i	0.00734254	0.0251445	0.185466	0.352186	0.266271	0.0829543	0.0415885	0.00483259	0.00340509	0.0308101
n	0.00793382	0.0117478	0.0625514	0.324785	0.374358	0.137646	0.0568372	0.00550743	0.00579509	0.0128379
e	0.00972229	0.0416698	0.141563	0.233752	0.169378	0.102787	0.0796851	0.0244677	0.0203857	0.176589
m	0.0104714	0.0134318	0.016285	0.0589628	0.237248	0.282999	0.215648	0.0225979	0.0212465	0.121109
m	0.00617866	0.0193595	0.0841884	0.172743	0.159525	0.161216	0.163005	0.0710953	0.0529798	0.10971
è	0.00358657	0.00905206	0.0369307	0.118911	0.144271	0.157586	0.214633	0.130384	0.0578796	0.126766
n	0.00555494	0.0157405	0.0259725	0.0836718	0.219693	0.28068	0.256209	0.0509669	0.0134327	0.0480786
o	0.00945459	0.0263064	0.0409835	0.0572974	0.144478	0.185526	0.217758	0.0454067	0.0528632	0.219926
m	0.00777191	0.00708483	0.00817915	0.0212465	0.0652647	0.198465	0.181383	0.162808	0.104056	0.243741
i	0.00542351	0.0128468	0.0246072	0.0491534	0.116488	0.171335	0.206387	0.19391	0.0746871	0.145163
n	0.00845213	0.00859682	0.00892102	0.021187	0.0451365	0.145276	0.131961	0.195053	0.144744	0.290672
a	0.00242871	0.00450009	0.0163678	0.0327812	0.0528057	0.0796731	0.122056	0.33758	0.242719	0.109089
l	0.00756183	0.00748065	0.00761547	0.0156361	0.0243783	0.0703763	0.0750505	0.187224	0.258651	0.346026
i	0.00147495	0.00304718	0.0160864	0.0369039	0.042586	0.0653479	0.117388	0.327409	0.315842	0.0739143
p	0.00862339	0.0083092	0.00839355	0.0145553	0.0176382	0.041428	0.0517503	0.169441	0.389396	0.290465
ù	0.00119992	0.00229236	0.0121195	0.0358686	0.0437835	0.0629912	0.10786	0.291372	0.37391	0.0686023
n	0.00141755	0.00174394	0.00189447	0.00759588	0.0151312	0.0257348	0.0231218	0.0514214	0.726443	0.145496
a	0.00213172	0.00406944	0.0111134	0.0215397	0.0451191	0.0707224	0.0968879	0.201139	0.434761	0.112516
</S>	0.00828136	0.00471382	0.00604708	0.00574054	0.00634097	0.0132999	0.0227419	0.0666023	0.593783	0.272449
