 	avete	cucinato	le	verdure	</S>
i	0.864451	0.0312205	0.0412184	0.0371573	0.0259529
m	0.690014	0.101059	0.043118	0.0345762	0.131233
a	0.0702563	0.226226	0.539741	0.101888	0.0618882
r	0.363987	0.2183	0.0687145	0.0306732	0.318325
è	0.0543625	0.235244	0.46928	0.0685084	0.172605
t	0.0601384	0.404245	0.445959	0.030339	0.059318
s	0.0378686	0.272112	0.342359	0.0818067	0.265853
a	0.0576849	0.15527	0.417894	0.0672177	0.301933
t	0.0546398	0.102886	0.286548	0.187792	0.368134
o	0.014537	0.0317162	0.147478	0.37274	0.433528
l	0.0385385	0.0488974	0.0872459	0.303067	0.522251
a	0.00253822	0.0365232	0.144827	0.74879	0.0673214
l	0.0225954	0.0250352	0.0476792	0.272607	0.632083
à	0.00332269	0.044334	0.132157	0.740365	0.0798219
c	0.0113979	0.0202589	0.0452933	0.57934	0.34371
h	0.00899027	0.0275617	0.0692702	0.719146	0.175032
a	0.0391609	0.0743481	0.116192	0.493062	0.277237
n	0.017494	0.0207181	0.0554345	0.366502	0.539851
a	0.0126632	0.0287421	0.128918	0.607945	0.221732
</S>	0.011011	0.0223547	0.0414911	0.230605	0.694538
