 	che	non	li	aspettiamo	</S>
n	0.976946	0.00962208	0.00415096	0.00349056	0.00579041
a	0.674436	0.146461	0.0232789	0.0614976	0.0943269
m	0.523902	0.297046	0.0258289	0.10053	0.0526921
i	0.0299895	0.0832907	0.520899	0.0476181	0.318203
t	0.137517	0.398449	0.314108	0.0626358	0.0872903
u	0.0321603	0.0841064	0.3422	0.123593	0.41794
s	0.0942835	0.158304	0.518466	0.124223	0.104724
m	0.0134164	0.0325567	0.126698	0.402161	0.425168
ì	0.0147021	0.0936015	0.426644	0.11339	0.351663
n	0.0339715	0.069543	0.490811	0.11959	0.286085
o	0.0201082	0.0676752	0.236329	0.161134	0.514754
m	0.0135937	0.0196326	0.0447082	0.70855	0.213515
e	0.00492119	0.0145156	0.0712124	0.386156	0.523194
</S>	0.0123159	0.0136525	0.016593	0.590517	0.366922
