 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.331849	0.103228	0.0636261	0.0875278	0.152134	0.109779	0.151857
c	0.151194	0.0706572	0.0642575	0.0875966	0.0754036	0.267412	0.283479
h	0.603066	0.21943	0.0250809	0.0217088	0.0222775	0.041893	0.0665444
a	0.695614	0.130275	0.0438633	0.0224994	0.0262201	0.0381628	0.0433657
n	0.617956	0.217858	0.0330045	0.0218858	0.0207902	0.0392186	0.0492868
a	0.556787	0.216623	0.0544632	0.0106781	0.013957	0.0374423	0.11005
v	0.388407	0.29155	0.0483468	0.0255986	0.0224461	0.0512856	0.172366
o	0.119983	0.0772456	0.276688	0.0725724	0.147999	0.0618151	0.243697
r	0.140103	0.130745	0.139787	0.054342	0.0694541	0.0701798	0.395389
à	0.0375146	0.0324353	0.188388	0.110838	0.241954	0.110105	0.278764
s	0.0401941	0.0394042	0.284795	0.14691	0.267982	0.0425272	0.178188
o	0.0489642	0.0411306	0.220053	0.317455	0.221763	0.024523	0.126111
t	0.0335626	0.0325745	0.103971	0.340363	0.326731	0.0695311	0.0932666
o	0.0434277	0.0395761	0.178186	0.258619	0.247864	0.0629621	0.169365
t	0.0331328	0.030541	0.0668586	0.311123	0.226052	0.157154	0.17514
s	0.0295383	0.0257811	0.0923614	0.227573	0.266064	0.165695	0.192987
o	0.0938255	0.0845443	0.147138	0.241486	0.263886	0.0649134	0.104207
m	0.0149935	0.0131567	0.0243884	0.0835544	0.0583102	0.555906	0.249691
ì	0.0211675	0.018302	0.0637819	0.12393	0.310117	0.305921	0.15678
k	0.0206677	0.0188748	0.0347032	0.0585114	0.0704998	0.454492	0.342251
à	0.0198538	0.00924213	0.0178571	0.061335	0.0970359	0.500467	0.294209
i	0.0194634	0.0164676	0.0415361	0.0759102	0.0581814	0.490259	0.298182
m	0.0134959	0.00961564	0.0199687	0.0451768	0.0391067	0.43267	0.439967
è	0.032612	0.0156419	0.0624913	0.0739772	0.169887	0.472702	0.172689
r	0.00914336	0.00781902	0.0186631	0.0423285	0.0581156	0.483797	0.380134
i	0.00974314	0.00726998	0.0198371	0.0340814	0.0268075	0.345719	0.556542
</S>	0.0114616	0.00854855	0.0255252	0.0320392	0.0326853	0.322984	0.566757
