 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.946175	0.0299827	0.00675604	0.00280088	0.00242557	0.00215781	0.00214976	0.00277943	0.00477277
a	0.587443	0.140197	0.0615352	0.00994623	0.00912787	0.0179954	0.016611	0.0797361	0.0774082
ì	0.372155	0.316779	0.0460555	0.013874	0.00734597	0.0284223	0.0221066	0.14559	0.0476716
s	0.185924	0.681458	0.0392934	0.0155191	0.0121787	0.012249	0.0101497	0.0242439	0.0189839
s	0.078236	0.286825	0.230981	0.0984655	0.0379216	0.0360136	0.0194484	0.0824192	0.12969
e	0.0763295	0.299975	0.231664	0.12724	0.06565	0.0409118	0.0270998	0.0760873	0.0550428
r	0.066706	0.23249	0.313779	0.078733	0.0519944	0.0474848	0.0254224	0.0698136	0.113577
e	0.0287295	0.0465229	0.356101	0.222478	0.0711643	0.0457353	0.0286096	0.0603666	0.140293
k	0.0424086	0.10239	0.415854	0.143477	0.0477336	0.0520976	0.0254805	0.0569706	0.113587
a	0.0140819	0.0564987	0.293706	0.241309	0.178243	0.0288597	0.0206737	0.0611358	0.105493
e	0.0313178	0.0562934	0.309504	0.258166	0.0929648	0.0502375	0.0274019	0.0584161	0.115699
s	0.0252369	0.0308827	0.158607	0.320984	0.215206	0.0584278	0.0390263	0.053167	0.0984622
ò	0.0174296	0.0197998	0.100498	0.206645	0.208331	0.0954273	0.0712879	0.0956849	0.184896
z	0.0148212	0.030436	0.089604	0.258597	0.274736	0.129018	0.0987676	0.0246611	0.0793588
i	0.00521663	0.0117095	0.140021	0.123745	0.0954357	0.104251	0.112185	0.224142	0.183293
k	0.0120078	0.0155659	0.0431998	0.09017	0.0812108	0.323755	0.257423	0.0817727	0.0948952
à	0.0061357	0.0138869	0.0789781	0.10248	0.100845	0.130821	0.153565	0.199724	0.213565
i	0.00560516	0.0102497	0.0304759	0.108394	0.117469	0.296589	0.282498	0.0677079	0.0810102
o	0.00666619	0.00748289	0.0195909	0.0331597	0.0499928	0.265632	0.237424	0.289353	0.0906991
b	0.00661591	0.00722932	0.0167717	0.0240058	0.0367628	0.22915	0.194866	0.311029	0.173569
à	0.00116672	0.00394321	0.0398302	0.0499133	0.0309042	0.0654906	0.150272	0.494642	0.163838
g	0.00122513	0.00184235	0.00459011	0.00589183	0.00581617	0.0548177	0.0401866	0.797879	0.087751
n	0.00289614	0.00499206	0.0157995	0.0455203	0.0479892	0.0612706	0.0643712	0.489731	0.26743
o	0.0117283	0.0118683	0.0127644	0.0168991	0.025162	0.0634095	0.0537932	0.403741	0.400634
</S>	0.00932288	0.00965923	0.00695338	0.0103488	0.0124826	0.0368329	0.0340418	0.626861	0.253497
