 	hai	già	mangiato	</S>
ì	0.940555	0.0259628	0.0119586	0.0215237
s	0.700406	0.0494765	0.164331	0.0857863
e	0.364562	0.447468	0.114597	0.0733734
g	0.105296	0.62768	0.105363	0.161661
i	0.0265856	0.69361	0.0638946	0.21591
à	0.022054	0.593391	0.154561	0.229994
f	0.019372	0.312031	0.442019	0.226578
a	0.00775031	0.34612	0.496604	0.149526
m	0.00270442	0.0103867	0.78574	0.201169
è	0.0053303	0.100304	0.697216	0.19715
n	0.00456135	0.0239255	0.770029	0.201484
a	0.00565176	0.022844	0.554113	0.417391
</S>	0.0118882	0.0221637	0.494558	0.47139
