 	la	pasta	vuole	sale	</S>
i	0.922885	0.0568401	0.00907851	0.00501868	0.00617781
p	0.636548	0.235983	0.0215497	0.0406078	0.0653114
à	0.106982	0.284312	0.320563	0.12466	0.163484
s	0.19618	0.731357	0.0457363	0.0134492	0.0132783
t	0.0687399	0.457173	0.261283	0.106259	0.106545
a	0.0534135	0.239468	0.346108	0.255952	0.105059
t	0.0415885	0.138692	0.573793	0.103667	0.14226
è	0.0250906	0.0453266	0.136694	0.231754	0.561136
l	0.0265714	0.102426	0.47167	0.195072	0.20426
i	0.0202325	0.062418	0.220682	0.216524	0.480143
à	0.0102332	0.0171116	0.0303254	0.71668	0.22565
l	0.00244701	0.00603832	0.0119429	0.857515	0.122057
a	0.00190402	0.0073171	0.0304727	0.837848	0.122458
</S>	0.00650673	0.00833238	0.00816645	0.644025	0.33297
