 	lo	ho	finito	di	fare	</S>
t	0.953506	0.0313477	0.00770975	0.00168769	0.00214249	0.0036063
o	0.685544	0.183113	0.0237594	0.0213894	0.0355618	0.0506331
s	0.405807	0.33437	0.0426481	0.0247867	0.114596	0.0777918
p	0.121923	0.310294	0.117917	0.0325424	0.0963737	0.32095
ì	0.138911	0.479988	0.0940284	0.0415356	0.0708315	0.174706
c	0.176038	0.610574	0.129283	0.0158456	0.0273272	0.0409317
c	0.0311314	0.436521	0.498571	0.0145836	0.00694311	0.0122495
e	0.0910323	0.439931	0.27089	0.0826618	0.046078	0.069407
t	0.0503667	0.23546	0.546692	0.0951051	0.0355367	0.0368396
s	0.0863077	0.214938	0.266069	0.113405	0.0784726	0.240808
a	0.0558697	0.100086	0.219332	0.313415	0.0758248	0.235471
a	0.0427224	0.0607959	0.10266	0.617553	0.058788	0.11748
t	0.0451957	0.0538048	0.0793033	0.622263	0.0632715	0.136161
s	0.0130018	0.0176649	0.031736	0.38369	0.163155	0.390752
è	0.0160688	0.0269487	0.0423002	0.387668	0.115652	0.411363
k	0.00840642	0.0201499	0.032334	0.214008	0.493761	0.231341
à	0.00391275	0.0120372	0.0192612	0.273786	0.485194	0.205809
m	0.00803591	0.0156914	0.0267587	0.134911	0.64406	0.170543
i	0.00806144	0.0280024	0.0406207	0.348672	0.30631	0.268334
</S>	0.0174013	0.0129364	0.0131288	0.0468106	0.72307	0.186653
