 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.876127	0.0959291	0.00520767	0.00393293	0.00383296	0.00387989	0.00320366	0.00788688
t	0.3957	0.531444	0.0056996	0.00419347	0.00598998	0.0200638	0.0057262	0.0311828
è	0.130621	0.483678	0.0933062	0.0186676	0.0106202	0.0597658	0.00721362	0.196127
l	0.15303	0.809652	0.0161142	0.00316042	0.00296933	0.00810711	0.00231122	0.00465512
i	0.0883562	0.217992	0.288275	0.11631	0.0147967	0.0562816	0.0350779	0.182911
f	0.0624026	0.24338	0.510615	0.0468918	0.0210699	0.0545357	0.0212583	0.0398468
a	0.0218926	0.0599213	0.472981	0.179462	0.0155775	0.0450103	0.0854326	0.119723
m	0.0357082	0.085315	0.47437	0.183946	0.0167196	0.037701	0.106027	0.0602134
è	0.00794748	0.00920636	0.0665778	0.184824	0.133362	0.0561124	0.36042	0.18155
n	0.00954829	0.0242373	0.314902	0.428547	0.0575007	0.0300451	0.106939	0.0282802
o	0.030441	0.0390564	0.187099	0.237286	0.0466275	0.0557244	0.18445	0.219316
o	0.00869938	0.00975735	0.0294475	0.178564	0.335943	0.149507	0.222642	0.0654393
l	0.0103204	0.0102267	0.0286498	0.100247	0.359487	0.151424	0.234709	0.104936
i	0.0015663	0.00189097	0.0202377	0.0513845	0.416983	0.261838	0.140984	0.105116
m	0.00705356	0.00680975	0.0102707	0.0221561	0.197679	0.371336	0.0611471	0.323547
i	0.00139683	0.00182071	0.0112777	0.0404302	0.392417	0.370152	0.10103	0.081475
a	0.00402727	0.00341737	0.0048957	0.0120384	0.0879859	0.545679	0.0312262	0.31073
f	0.00248759	0.00176876	0.00294939	0.00802889	0.0828303	0.607923	0.0254909	0.268521
o	0.000335545	0.000364243	0.00340375	0.0188469	0.283361	0.505769	0.065309	0.12261
r	0.00340377	0.00246609	0.00335949	0.00600713	0.0573999	0.589784	0.0240443	0.313535
à	0.000487276	0.00045891	0.00150025	0.00455469	0.127545	0.634938	0.0223715	0.208144
</S>	0.00166814	0.00136152	0.00286867	0.00863445	0.106996	0.684097	0.0206889	0.173685
