 	ho	finito	di	scrivere	</S>
s	0.868267	0.0842088	0.0117429	0.0120645	0.0237163
p	0.73804	0.0790481	0.0212723	0.0954643	0.0661758
ì	0.247657	0.184457	0.0337416	0.214003	0.320141
c	0.440082	0.514942	0.0154219	0.0129614	0.0165931
c	0.219777	0.667715	0.0688179	0.0183146	0.0253757
e	0.322014	0.377858	0.141575	0.064208	0.0943448
t	0.192763	0.511107	0.198617	0.0509359	0.0465776
s	0.263089	0.326906	0.15774	0.099218	0.153047
a	0.0770165	0.17885	0.512367	0.0874838	0.144283
à	0.0360347	0.0682399	0.76259	0.0635562	0.0695799
t	0.0369591	0.0784226	0.782626	0.0243601	0.0776322
s	0.0115121	0.0156415	0.350393	0.271547	0.350906
e	0.0280738	0.0639788	0.275154	0.156563	0.476231
g	0.0198128	0.0405048	0.137803	0.417722	0.384157
r	0.0107945	0.0131342	0.245047	0.553925	0.1771
à	0.0132067	0.0180052	0.108673	0.460352	0.399763
t	0.00348832	0.00692535	0.0396319	0.772626	0.177328
s	0.00250741	0.00437963	0.0588506	0.770904	0.163359
i	0.00930712	0.0191578	0.085842	0.429763	0.45593
</S>	0.00288912	0.00355465	0.0151143	0.618431	0.360011
