 	sul	muro	vuole	uno	specchio	</S>
s	0.941085	0.0423887	0.00491116	0.00272035	0.00326381	0.00563121
t	0.664016	0.244528	0.012058	0.0245282	0.0217203	0.0331491
o	0.375585	0.481692	0.0223917	0.0218235	0.0233705	0.0751369
t	0.628901	0.259169	0.0180475	0.0255081	0.0347392	0.0336344
ì	0.212255	0.343051	0.0855581	0.0459328	0.135875	0.177327
c	0.272411	0.635245	0.0429204	0.00946588	0.0169338	0.0230236
h	0.194774	0.377371	0.300637	0.00854403	0.040845	0.0778286
o	0.124002	0.457234	0.178858	0.0663022	0.0485531	0.125051
t	0.0727075	0.162343	0.555453	0.0325348	0.0337315	0.14323
è	0.0391162	0.0493483	0.221527	0.0818519	0.062531	0.545625
l	0.0346444	0.0740112	0.708902	0.015623	0.0288593	0.13796
i	0.0137306	0.122179	0.204716	0.156643	0.109629	0.393103
o	0.0370863	0.0411827	0.22506	0.0696473	0.167665	0.459358
j	0.0243238	0.0237558	0.0673457	0.143367	0.279984	0.461223
a	0.00211581	0.0117022	0.0425016	0.290191	0.551616	0.101873
l	0.00851759	0.00780499	0.0164095	0.142794	0.559899	0.264575
ì	0.00238529	0.0116369	0.0299296	0.403934	0.440565	0.111549
</S>	0.00336962	0.0072961	0.0203359	0.0835386	0.685858	0.199602
