 	l	ho	sentito	quando	veniva	</S>
t	0.966765	0.0200866	0.00441373	0.00247668	0.00245305	0.00380478
o	0.687238	0.137838	0.023819	0.0320928	0.0779886	0.041024
n	0.353542	0.346961	0.103429	0.0376517	0.104131	0.0542853
ì	0.0697953	0.187453	0.277498	0.135929	0.0685016	0.260824
k	0.207083	0.387488	0.276322	0.0474401	0.0428411	0.0388257
u	0.020129	0.14294	0.311541	0.111359	0.088422	0.325609
s	0.0313163	0.0525871	0.568196	0.159063	0.14971	0.0391276
a	0.019421	0.0274682	0.217523	0.415167	0.155689	0.164731
m	0.0185147	0.0239743	0.0740014	0.591849	0.231676	0.0599856
ò	0.00865959	0.0232745	0.0852094	0.53114	0.113197	0.238519
t	0.01475	0.0197268	0.0662343	0.574676	0.168687	0.155926
t	0.0253392	0.0361395	0.0886522	0.288956	0.248649	0.312264
e	0.0255564	0.0298661	0.0677328	0.331762	0.170453	0.374629
è	0.0136031	0.0137383	0.0193007	0.133527	0.401168	0.418663
r	0.00639403	0.00853479	0.0228391	0.0655612	0.646645	0.250026
k	0.00233672	0.00327517	0.0103398	0.095201	0.619208	0.26964
a	0.0102102	0.0107387	0.0180116	0.213086	0.284605	0.463349
t	0.0228847	0.020865	0.0303917	0.0970157	0.380227	0.448616
o	0.00919689	0.00906238	0.0182445	0.100078	0.298508	0.564911
</S>	0.0202786	0.0190362	0.0228688	0.0555968	0.331925	0.550295
