 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
m	0.922675	0.0277034	0.0211493	0.00697104	0.00515566	0.00258772	0.00257217	0.00259058	0.002931	0.00566387
i	0.336308	0.174006	0.146913	0.0511967	0.034553	0.00801755	0.00499733	0.0135424	0.0798574	0.150609
n	0.0884581	0.11609	0.23076	0.0978931	0.176783	0.0110854	0.00717007	0.0131758	0.113156	0.145428
d	0.0505333	0.146591	0.188644	0.1863	0.171758	0.0332155	0.012769	0.0136708	0.0972646	0.099254
è	0.0790855	0.171725	0.256284	0.1004	0.123093	0.0245692	0.0202356	0.0289981	0.124636	0.0709743
l	0.0419874	0.117842	0.275042	0.327152	0.178492	0.0152859	0.00859679	0.00831668	0.017294	0.00999149
a	0.0195641	0.16235	0.195353	0.212295	0.205753	0.0716829	0.0161147	0.00487258	0.0292722	0.0827422
à	0.0181229	0.043484	0.135309	0.402226	0.293541	0.0326062	0.00962248	0.00792722	0.0328544	0.024307
l	0.0132303	0.0298859	0.115283	0.443023	0.278866	0.0513389	0.0186409	0.00980636	0.0144938	0.025432
l	0.0100845	0.0492577	0.07647	0.164795	0.143642	0.155515	0.0588279	0.0165103	0.0617849	0.263112
e	0.0234155	0.02691	0.0373164	0.16034	0.062877	0.172472	0.0652696	0.0371049	0.135973	0.278322
s	0.0132968	0.0144498	0.0200987	0.0816782	0.0484964	0.471651	0.15466	0.0213974	0.0749994	0.0992724
è	0.0149626	0.0160801	0.0185092	0.0573532	0.0280353	0.336769	0.136937	0.0300477	0.0772486	0.284057
t	0.0069311	0.0083931	0.0239345	0.103636	0.0435581	0.365491	0.258843	0.0427571	0.0200268	0.126429
t	0.00620845	0.0138962	0.0344553	0.123588	0.110951	0.243102	0.120737	0.0531404	0.0924194	0.201502
e	0.00904753	0.00973037	0.0129519	0.0413118	0.0344971	0.287339	0.185059	0.129946	0.113041	0.177076
k	0.00591545	0.00616905	0.0100342	0.0211685	0.0217067	0.205777	0.281787	0.184949	0.106109	0.156383
a	0.00621369	0.0140672	0.0224817	0.0677162	0.0347583	0.135039	0.119601	0.231037	0.139773	0.229313
v	0.00730204	0.00737592	0.00861917	0.0124916	0.018389	0.115874	0.220433	0.204748	0.161915	0.242852
ò	0.00301859	0.00592477	0.00962806	0.0345018	0.0186526	0.112633	0.102992	0.273385	0.275258	0.164005
e	0.00358513	0.0038466	0.00660577	0.0163799	0.014481	0.123288	0.213139	0.185554	0.24605	0.18707
n	0.00392299	0.00406827	0.00435322	0.00787422	0.00682862	0.0555537	0.118642	0.131958	0.41641	0.250389
ì	0.00345346	0.00667143	0.0111385	0.0381461	0.018048	0.0827547	0.07403	0.268839	0.243478	0.253441
m	0.00157343	0.00162622	0.0021466	0.00432901	0.00511864	0.023741	0.0633795	0.0761987	0.676231	0.145656
e	0.00450001	0.0141873	0.0301626	0.0588268	0.055107	0.159842	0.126534	0.118821	0.28728	0.14474
p	0.00359594	0.00353704	0.0038126	0.00361016	0.00342649	0.00760302	0.0116583	0.0382091	0.765639	0.158909
r	0.00218096	0.00325607	0.0043711	0.0167193	0.00760028	0.0656639	0.0598671	0.196828	0.411455	0.232058
ò	0.00130509	0.00129361	0.00136821	0.00138307	0.00149663	0.00393261	0.00723287	0.0259833	0.817718	0.138286
n	0.000816668	0.000814295	0.000944223	0.00124845	0.00133613	0.00590029	0.00908497	0.0258733	0.859767	0.0942145
t	0.00150442	0.00181753	0.00220151	0.00645874	0.00230562	0.0246527	0.0249686	0.0882969	0.588144	0.25965
a	0.00957867	0.00942338	0.0099081	0.00894028	0.00620432	0.0082811	0.0126741	0.0522402	0.587336	0.295414
</S>	0.00694258	0.00694406	0.00696769	0.00707332	0.00579064	0.00877506	0.0120461	0.030435	0.683299	0.231726
