 	l	ho	sentito	che	veniva	</S>
o	0.96826	0.0186972	0.00314506	0.00354949	0.00256493	0.00378321
n	0.723564	0.157333	0.0130035	0.0217863	0.0439402	0.0403728
ì	0.173502	0.309289	0.0987724	0.0809045	0.089514	0.248019
k	0.311509	0.578285	0.0374772	0.0201083	0.0297196	0.0229011
u	0.0299569	0.220232	0.385035	0.0739426	0.116633	0.174201
s	0.038676	0.0794798	0.627765	0.0656849	0.136094	0.0523003
a	0.0222376	0.032981	0.357596	0.326144	0.161735	0.0993069
k	0.0293823	0.0450551	0.194524	0.429326	0.227018	0.0746938
a	0.00602605	0.0237888	0.106617	0.646318	0.0872198	0.13003
è	0.0182664	0.0236499	0.04773	0.329367	0.322522	0.258465
r	0.0115377	0.0171009	0.0593332	0.255706	0.504878	0.151444
k	0.00627227	0.00957178	0.0633663	0.355844	0.348127	0.216819
a	0.0224187	0.0240959	0.0485011	0.322206	0.133065	0.449714
t	0.0181841	0.0178714	0.0257273	0.0750785	0.21045	0.652689
o	0.0112	0.0127013	0.0299635	0.0884787	0.238401	0.619256
</S>	0.0145182	0.0133721	0.0191847	0.0544606	0.264106	0.634359
