 	ha	che	sono	usciti	</S>
è	0.935777	0.0309263	0.00850535	0.011443	0.0133478
n	0.528502	0.211908	0.0387814	0.0953732	0.125435
a	0.141362	0.340666	0.0702965	0.0956091	0.352067
g	0.0479712	0.403389	0.307054	0.152795	0.0887906
u	0.0230434	0.124272	0.463233	0.097076	0.292375
ì	0.016412	0.0570914	0.251593	0.357045	0.317859
k	0.00644298	0.0209039	0.0827019	0.719466	0.170485
a	0.00746978	0.0168841	0.107184	0.498209	0.370253
n	0.0106102	0.0174659	0.0326523	0.516659	0.422612
e	0.00226655	0.00572065	0.0534609	0.504656	0.433896
</S>	0.0108707	0.0120068	0.0280457	0.372768	0.576309
