 	lo	sentii	che	arrivò	</S>
t	0.977943	0.0137001	0.00271911	0.0019167	0.00372122
o	0.694276	0.197891	0.0116124	0.0465584	0.0496619
n	0.384654	0.434794	0.0265543	0.0794435	0.0745542
ì	0.101307	0.278232	0.224393	0.113832	0.282237
k	0.252518	0.647075	0.0401682	0.0240777	0.0361618
u	0.0386128	0.284477	0.144337	0.108543	0.42403
s	0.0479342	0.109137	0.672435	0.0728295	0.0976652
a	0.031916	0.0423386	0.504434	0.136888	0.284424
k	0.0449629	0.0668706	0.370668	0.256929	0.26057
a	0.00555774	0.030873	0.398365	0.416443	0.148761
ì	0.0110428	0.0133459	0.0352791	0.613923	0.326409
r	0.00465489	0.00602075	0.0282645	0.729064	0.231995
t	0.00130027	0.00176529	0.0198757	0.851518	0.12554
e	0.0114808	0.0144926	0.067985	0.528831	0.377211
</S>	0.00498598	0.00399865	0.0123278	0.484246	0.494442
