 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.953677	0.0275453	0.00374734	0.00307581	0.00288161	0.00299119	0.00608192
i	0.506015	0.288171	0.0199115	0.00918475	0.0616042	0.0761614	0.038952
k	0.202728	0.541273	0.0306237	0.023782	0.0459901	0.100124	0.0554789
à	0.0847277	0.439131	0.108132	0.0503806	0.0508001	0.107273	0.159556
n	0.228056	0.670208	0.0227989	0.0171146	0.0158217	0.0252727	0.0207281
n	0.0938553	0.449983	0.265636	0.100491	0.0186411	0.0284662	0.042927
i	0.0452623	0.381872	0.295528	0.175945	0.0389467	0.0352462	0.027201
e	0.0401163	0.332662	0.35305	0.165746	0.0289256	0.0389688	0.0405323
A	0.0369425	0.0898422	0.460924	0.298457	0.0322807	0.0329301	0.048624
n	0.0230463	0.150437	0.3518	0.31133	0.0559322	0.021193	0.086261
n	0.00881726	0.0742837	0.397081	0.222556	0.0879655	0.0330726	0.176224
a	0.0191704	0.0304335	0.234836	0.347138	0.135759	0.063359	0.169303
o	0.0194242	0.0402526	0.167723	0.457284	0.156671	0.0624331	0.0962123
s	0.0220492	0.0291519	0.142853	0.357534	0.226367	0.0542605	0.167784
à	0.00955283	0.0149723	0.130681	0.237623	0.269964	0.0711255	0.266082
m	0.00992509	0.0354975	0.0610198	0.258402	0.369192	0.0571381	0.208826
b	0.00693044	0.0508868	0.208347	0.144849	0.31461	0.152137	0.12224
a	0.00834734	0.0556861	0.10478	0.21022	0.410003	0.109012	0.101952
p	0.00434035	0.00850492	0.0296378	0.0538272	0.328585	0.373635	0.20147
o	0.00215175	0.00379157	0.0221552	0.0255375	0.234298	0.522554	0.189512
r	0.00311714	0.00405436	0.0110274	0.00893605	0.140778	0.616871	0.215215
n	0.000871993	0.00112157	0.00565201	0.00782515	0.0855114	0.742317	0.1567
ò	0.00222005	0.00209366	0.00686707	0.00551155	0.172139	0.555316	0.255853
</S>	0.00167907	0.00205495	0.00754323	0.008513	0.0322593	0.831375	0.116576
