 	ho	scritto	una	lettera	al	mio	fratello	</S>
è	0.827385	0.0815244	0.039573	0.00833143	0.00800455	0.00804484	0.0092019	0.0179351
g	0.301033	0.349975	0.0873644	0.0651716	0.0531941	0.0513356	0.0649208	0.0270055
r	0.130006	0.383061	0.25019	0.0317192	0.0189978	0.0170819	0.0655746	0.10337
a	0.0659237	0.49859	0.288797	0.0223055	0.0208154	0.0207412	0.0508917	0.0319349
t	0.0465772	0.521499	0.292972	0.0207642	0.0173853	0.0174734	0.044176	0.0391524
s	0.0344232	0.232067	0.464232	0.0864944	0.0170125	0.0120849	0.0494461	0.10424
a	0.0392946	0.29039	0.428696	0.0556526	0.0212339	0.0169125	0.0581881	0.0896327
è	0.0434803	0.206598	0.489359	0.0529495	0.0240164	0.0185599	0.0567444	0.108293
n	0.0381052	0.118574	0.525248	0.183483	0.0416511	0.0197321	0.0308747	0.0423317
a	0.0227187	0.103647	0.259275	0.365261	0.0472763	0.016457	0.03267	0.152695
n	0.065046	0.142954	0.260218	0.312306	0.0452757	0.0259846	0.0682021	0.0800136
g	0.0155872	0.0589755	0.180644	0.413638	0.092382	0.02662	0.028184	0.18397
r	0.0387004	0.0423259	0.0540793	0.167822	0.13306	0.0408291	0.0732449	0.449938
à	0.0100532	0.0151959	0.0252497	0.337499	0.31972	0.0733206	0.0465887	0.172373
m	0.00991301	0.0212266	0.0526212	0.355858	0.350095	0.118498	0.0200479	0.0717397
m	0.0170862	0.076785	0.161627	0.374743	0.143819	0.0395983	0.0522569	0.134084
a	0.0096459	0.0170031	0.0857598	0.321364	0.221414	0.112991	0.0818624	0.149959
a	0.00917131	0.00995294	0.0120689	0.0748075	0.235243	0.264579	0.119056	0.275121
d	0.00975577	0.0103782	0.0162755	0.0932697	0.251539	0.235749	0.09561	0.287422
r	0.00739762	0.0145089	0.0560089	0.215015	0.174254	0.184906	0.148203	0.199707
e	0.00509043	0.00897231	0.0108124	0.0428716	0.189034	0.238663	0.164471	0.340086
f	0.00359828	0.00445829	0.00534334	0.0282432	0.07919	0.192259	0.319437	0.367471
ù	0.00406403	0.00803623	0.0331209	0.131902	0.121354	0.166516	0.341052	0.193955
m	0.00257591	0.00604385	0.0075559	0.024289	0.0627998	0.137056	0.547495	0.212185
m	0.012264	0.0353964	0.0817916	0.214016	0.195854	0.150665	0.157562	0.152451
u	0.00618726	0.0075526	0.0162442	0.0965929	0.182024	0.228017	0.161115	0.302267
</S>	0.0105161	0.00715035	0.00846873	0.0196566	0.0501015	0.0663489	0.477376	0.360382
