 	qui	dentro	vuole	un	tappeto	</S>
e	0.847115	0.0997191	0.0158075	0.00862758	0.0103895	0.018341
t	0.673302	0.208837	0.0117819	0.0120692	0.0393221	0.0546875
t	0.104063	0.621658	0.0814187	0.00846604	0.0779431	0.106452
ù	0.20741	0.549823	0.0366041	0.0265352	0.0735523	0.106076
m	0.165221	0.765359	0.0262903	0.00520072	0.0158534	0.0220752
è	0.0614718	0.279534	0.330223	0.0775979	0.0452657	0.205907
s	0.0889647	0.688092	0.211535	0.0042717	0.00275357	0.0043822
a	0.118455	0.385383	0.332238	0.101245	0.0329928	0.0296873
t	0.0545292	0.21359	0.607062	0.0392597	0.0306595	0.0548996
è	0.0377978	0.0632252	0.256314	0.240096	0.045789	0.356777
l	0.0437698	0.133844	0.52324	0.201569	0.0299601	0.0676177
i	0.0258383	0.0736113	0.201007	0.151511	0.134526	0.413507
è	0.0269582	0.0518002	0.0966553	0.591615	0.0829668	0.150004
n	0.0147287	0.0404606	0.0846997	0.541061	0.21638	0.10267
a	0.0074515	0.016083	0.0612504	0.344399	0.41932	0.151497
t	0.00804702	0.012116	0.0115009	0.0762317	0.673732	0.218372
a	0.00162659	0.00202951	0.00365624	0.074863	0.835286	0.0825385
p	0.00457252	0.00517892	0.00505897	0.0254625	0.718118	0.241609
p	0.00102585	0.00313202	0.0113617	0.127551	0.764307	0.0926219
è	0.00255644	0.00669949	0.00674214	0.0666336	0.656448	0.26092
t	0.00327297	0.00642177	0.00848085	0.0401266	0.637109	0.304589
o	0.0031522	0.00295772	0.00412955	0.0260163	0.51502	0.448725
</S>	0.00911783	0.00808368	0.0092793	0.0205618	0.487765	0.465193
