 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
s	0.908943	0.04022	0.0349885	0.00222069	0.00218185	0.00186797	0.00186432	0.00184655	0.0019432	0.00392367
i	0.52226	0.27167	0.0629432	0.00821029	0.00995846	0.0107988	0.0103122	0.022071	0.0480278	0.0337482
i	0.283273	0.459396	0.0777247	0.0306676	0.0189138	0.0149568	0.0143089	0.0163067	0.0468058	0.0376465
p	0.274714	0.2875	0.104987	0.0355978	0.0284756	0.0154403	0.0116007	0.0171606	0.0727408	0.151784
à	0.0851287	0.233616	0.224398	0.0254406	0.0207838	0.0225014	0.0112544	0.030912	0.198267	0.147698
s	0.109458	0.691611	0.152982	0.00911636	0.00595126	0.00247646	0.00222701	0.00393904	0.0104099	0.0118295
t	0.0792038	0.28803	0.327358	0.0672963	0.033835	0.0238714	0.0144289	0.0190711	0.0501137	0.0967921
a	0.0709778	0.239575	0.316536	0.118533	0.0503601	0.0304474	0.0220683	0.0326948	0.0644389	0.0543692
ì	0.0576307	0.230033	0.36074	0.0673912	0.0386401	0.0294426	0.0163506	0.0234611	0.0603436	0.115967
c	0.0584219	0.243157	0.423076	0.0614737	0.0404163	0.0381204	0.0146417	0.0122209	0.027871	0.0806013
h	0.0263819	0.158276	0.359958	0.162199	0.137497	0.0253807	0.0154857	0.0044944	0.0391494	0.0711778
e	0.028722	0.0707489	0.158719	0.218392	0.236968	0.102921	0.049931	0.022028	0.0472556	0.0643142
t	0.0309546	0.0471423	0.125401	0.358974	0.226556	0.0579894	0.0189732	0.0140774	0.0397104	0.0802218
e	0.0200715	0.0222754	0.0316594	0.234643	0.268779	0.0983824	0.0509023	0.0161915	0.0450892	0.212007
l	0.0217028	0.0271675	0.0370404	0.34483	0.250367	0.0650725	0.0384406	0.0131034	0.0423374	0.159938
ì	0.00538317	0.00788989	0.0215777	0.127018	0.171394	0.231456	0.14551	0.0471378	0.0799862	0.162646
s	0.00990401	0.0212966	0.0684606	0.360907	0.32399	0.0673333	0.0388984	0.00610454	0.0156627	0.0874429
o	0.00771227	0.0112208	0.0293277	0.210685	0.327103	0.124144	0.0831126	0.0147792	0.0409404	0.150975
n	0.00880925	0.0109953	0.0168034	0.208561	0.282766	0.187237	0.113016	0.00845479	0.0346764	0.128681
t	0.00606631	0.00970837	0.0216205	0.0845215	0.14808	0.257438	0.130749	0.0676066	0.0711989	0.203011
a	0.00664559	0.0070383	0.010252	0.0578157	0.148047	0.241411	0.190737	0.0417447	0.080949	0.21536
à	0.0068508	0.00749025	0.00953768	0.0671671	0.11998	0.206072	0.244707	0.0264238	0.098921	0.212851
l	0.00456927	0.00636673	0.0141317	0.0776654	0.164503	0.204437	0.236274	0.0344617	0.0783628	0.179229
a	0.00304561	0.00517157	0.0125252	0.059289	0.0864212	0.17281	0.131348	0.279309	0.133501	0.116579
t	0.00783199	0.00806971	0.00894013	0.0381994	0.0536156	0.123824	0.247161	0.0872214	0.182168	0.242968
o	0.00438476	0.00468148	0.00767363	0.030216	0.0654191	0.153805	0.211798	0.182551	0.167445	0.172026
ì	0.0059211	0.00606897	0.00672979	0.0269299	0.0299275	0.058868	0.162112	0.156393	0.302067	0.244982
c	0.00273627	0.00313749	0.00544856	0.0299284	0.0360247	0.0552491	0.138152	0.1285	0.392405	0.208419
h	0.00143283	0.00390515	0.00795217	0.0629686	0.0796012	0.0877591	0.0873157	0.361355	0.215434	0.0922757
a	0.0111998	0.0116431	0.016935	0.043962	0.0420017	0.106398	0.121087	0.219183	0.102726	0.324865
v	0.00662163	0.00429349	0.00450487	0.00987046	0.00772712	0.0244093	0.0326234	0.123645	0.365871	0.420434
à	0.00200316	0.00178265	0.0030131	0.0105585	0.0258968	0.0792918	0.0804027	0.491507	0.189239	0.116305
l	0.00181417	0.00196437	0.0024373	0.0140172	0.0118881	0.0197819	0.0388475	0.065186	0.640966	0.203097
o	0.00261678	0.00324023	0.00740627	0.0235762	0.0518554	0.122491	0.0877872	0.345838	0.19979	0.155399
n	0.00997507	0.00653757	0.00643296	0.0079735	0.00890732	0.0191189	0.0187704	0.0791503	0.500123	0.343011
t	0.00202057	0.00158495	0.00300723	0.00768035	0.0164431	0.0487834	0.049749	0.490512	0.222368	0.157851
a	0.00790598	0.00509196	0.00511161	0.00766673	0.00592149	0.0137297	0.0137829	0.248026	0.417104	0.275659
</S>	0.00858567	0.0073748	0.00726153	0.00853756	0.00688669	0.0145165	0.0140023	0.130872	0.554739	0.247225
