 	viene	fabbricato	</S>
è	0.819726	0.11938	0.0608935
r	0.643725	0.184275	0.172
k	0.407824	0.467902	0.124274
e	0.150452	0.324936	0.524612
t	0.0946996	0.540873	0.364428
e	0.0676449	0.197722	0.734633
f	0.0513234	0.329232	0.619445
a	0.0115131	0.622194	0.366293
b	0.0257294	0.284364	0.689907
b	0.00494594	0.6552	0.339854
r	0.0213744	0.343252	0.635374
i	0.0583248	0.329303	0.612372
k	0.0263318	0.55723	0.416438
à	0.0464761	0.313491	0.640033
t	0.0251292	0.568806	0.406065
o	0.012215	0.18035	0.807435
</S>	0.02623	0.283344	0.690426
