 	possono	essere	ancora	svegli	</S>
i	0.937892	0.0261383	0.013486	0.0159851	0.00649867
s	0.849499	0.0707015	0.0205512	0.0299191	0.0293293
ò	0.248623	0.636192	0.0279674	0.0218992	0.0653184
z	0.476469	0.471947	0.0223762	0.0203434	0.00886428
o	0.0821073	0.462465	0.133935	0.051845	0.269648
n	0.0610432	0.756566	0.0647942	0.0544627	0.0631339
e	0.0400137	0.424614	0.143352	0.059893	0.332127
ì	0.0614229	0.232031	0.441643	0.085495	0.179409
n	0.025679	0.128968	0.691127	0.063112	0.0911136
e	0.0176812	0.216842	0.307415	0.110888	0.347174
a	0.0953107	0.0970569	0.367312	0.21594	0.22438
n	0.0825051	0.0785012	0.216886	0.248249	0.373859
k	0.00624665	0.11233	0.199939	0.243818	0.437667
ò	0.0404915	0.0516516	0.129789	0.082645	0.695423
r	0.0447495	0.132427	0.278334	0.199098	0.345392
a	0.0837294	0.195638	0.238452	0.20656	0.275621
a	0.18403	0.189763	0.217519	0.109219	0.299469
t	0.102749	0.111141	0.150784	0.335295	0.300031
s	0.00594547	0.0155162	0.0636425	0.451213	0.463682
ù	0.0348285	0.0273604	0.0402113	0.123441	0.774159
n	0.044008	0.0519275	0.0864412	0.221498	0.596125
n	0.00469814	0.0114415	0.0497361	0.364805	0.569319
i	0.038788	0.0286299	0.040717	0.107583	0.784282
t	0.047356	0.0736367	0.0650282	0.240126	0.573854
i	0.017899	0.0213469	0.0275412	0.136268	0.796945
</S>	0.0341269	0.0715789	0.0705039	0.322721	0.501069
