 	non	li	aspettiamo	più	</S>
e	0.905828	0.0695617	0.00694648	0.00590304	0.0117609
t	0.468451	0.429215	0.00692256	0.0528265	0.0425849
u	0.13623	0.411248	0.0640825	0.121433	0.267007
s	0.160011	0.69439	0.0126173	0.0682572	0.0647251
m	0.0612851	0.22945	0.287385	0.196002	0.225878
è	0.0903575	0.27099	0.367205	0.124273	0.147175
n	0.0806765	0.543489	0.321044	0.0256727	0.0291173
u	0.104094	0.440861	0.118111	0.160091	0.176842
m	0.0330458	0.0625398	0.667585	0.128482	0.108347
e	0.011911	0.0189608	0.208919	0.414898	0.345311
p	0.0127566	0.0130534	0.0806208	0.654062	0.239507
l	0.000911313	0.00123406	0.0450613	0.813957	0.138836
è	0.00431967	0.00451073	0.0649491	0.764026	0.162195
o	0.00826177	0.0123641	0.0468614	0.625994	0.306519
</S>	0.017018	0.0155559	0.0662252	0.650207	0.250994
