 	se	vieni	a	casa	ogni	sabato	</S>
a	0.968866	0.017806	0.0039401	0.00181806	0.00179139	0.00201606	0.00376245
n	0.623297	0.228884	0.0216538	0.00955178	0.00626369	0.0728273	0.0375231
è	0.197549	0.349495	0.0638875	0.0470362	0.0263916	0.14689	0.16875
r	0.40688	0.44664	0.0368383	0.0165896	0.0110001	0.0503705	0.0316816
t	0.210066	0.213794	0.380784	0.0626815	0.0335648	0.0586029	0.0405065
i	0.0643947	0.152549	0.556711	0.0846861	0.0458494	0.0614206	0.0343893
è	0.0519285	0.250835	0.465918	0.0719827	0.0450429	0.0503203	0.0639721
s	0.0473809	0.185507	0.61747	0.0671696	0.0396048	0.0192315	0.0236364
s	0.0151786	0.10639	0.55954	0.136334	0.0663178	0.0286876	0.0875515
u	0.0162724	0.0302276	0.471027	0.232565	0.137934	0.0416289	0.0703447
k	0.022828	0.0385167	0.367396	0.287948	0.160136	0.0376451	0.0855305
u	0.0106688	0.029764	0.150573	0.208283	0.166067	0.0766449	0.358
à	0.0133374	0.0147728	0.0943734	0.348375	0.267631	0.0575266	0.203985
i	0.00759515	0.0108661	0.121419	0.312692	0.314778	0.0997765	0.132873
s	0.0115672	0.012584	0.066885	0.225638	0.262409	0.184895	0.236022
à	0.00431303	0.00493524	0.0320755	0.124632	0.109809	0.48665	0.237586
m	0.00146712	0.00164893	0.0118308	0.0254687	0.04159	0.810827	0.107168
b	0.00346158	0.0151643	0.0921598	0.119076	0.084296	0.503445	0.182397
a	0.00212423	0.00364638	0.0269964	0.03118	0.0342353	0.658113	0.243704
</S>	0.00135873	0.00127317	0.00352671	0.0109298	0.00617679	0.835259	0.141476
