 	hai	già	mangiato	</S>
è	0.940555	0.0259628	0.0119586	0.0215237
c	0.736112	0.0490818	0.137074	0.0777318
h	0.235433	0.622307	0.0797686	0.0624913
i	0.236282	0.415201	0.216757	0.13176
g	0.0593789	0.805022	0.0668951	0.0687039
i	0.0367311	0.613632	0.0749316	0.274706
à	0.0168637	0.31515	0.339673	0.328313
f	0.00915791	0.0820833	0.693922	0.214837
a	0.00286588	0.129152	0.713004	0.154979
m	0.00388573	0.0126513	0.735586	0.247877
è	0.00370879	0.0826041	0.668753	0.244934
n	0.00480801	0.0199009	0.737242	0.238049
a	0.00466393	0.0227582	0.529286	0.443292
</S>	0.0113725	0.0216388	0.476169	0.49082
