 	devo	pulire	l	albero	</S>
è	0.920189	0.0428835	0.0104301	0.0131177	0.0133798
n	0.632604	0.173929	0.0423519	0.0496924	0.101423
a	0.168862	0.627423	0.0766587	0.0258432	0.101213
k	0.0759082	0.69857	0.100002	0.0198178	0.105702
a	0.0437259	0.267668	0.33446	0.115146	0.238999
t	0.0411974	0.163669	0.508948	0.0849049	0.201281
à	0.00353594	0.00851019	0.0727062	0.812928	0.10232
r	0.00966905	0.0330396	0.141869	0.612421	0.203001
o	0.0138087	0.0425387	0.194043	0.508436	0.241173
t	0.0128887	0.0407707	0.0711426	0.601479	0.273719
o	0.00676658	0.0168765	0.0451541	0.705113	0.22609
n	0.00725574	0.0132023	0.0232956	0.178544	0.777702
à	0.00208568	0.00620594	0.0521209	0.739521	0.200066
r	0.0073363	0.0144185	0.0348879	0.268947	0.674411
b	0.00341002	0.00607709	0.0133907	0.165762	0.81136
u	0.00632424	0.0304567	0.053507	0.219793	0.689919
r	0.00508326	0.00866337	0.0244204	0.193261	0.768573
o	0.00446376	0.00553779	0.0157965	0.28809	0.686112
</S>	0.00920487	0.0112429	0.0223884	0.141109	0.816054
