 	non	ha	che	li	aspettiamo	</S>
e	0.946378	0.0333814	0.00505685	0.00381508	0.00419978	0.00716879
n	0.648418	0.261382	0.0121165	0.00576873	0.0382906	0.0340234
è	0.173065	0.302488	0.272329	0.0243538	0.0333508	0.194414
n	0.234436	0.657129	0.0772856	0.00727064	0.012621	0.0112569
a	0.0700347	0.330411	0.385433	0.0505714	0.0338257	0.129725
t	0.0411972	0.112847	0.665901	0.112353	0.0363447	0.0313572
u	0.0255365	0.0420732	0.391052	0.270116	0.0846659	0.186557
s	0.0365012	0.0627324	0.297039	0.445926	0.0912786	0.0665229
m	0.0106168	0.0122636	0.0625757	0.235175	0.313679	0.365689
ì	0.00975017	0.0166589	0.142496	0.359656	0.109626	0.361813
n	0.0159472	0.034278	0.147201	0.530444	0.0875492	0.18458
o	0.0187275	0.0490232	0.0677537	0.243803	0.169156	0.451536
m	0.0183142	0.0152991	0.0206158	0.104692	0.657072	0.184007
e	0.00573476	0.0148703	0.023787	0.142006	0.36517	0.448431
</S>	0.0141704	0.012618	0.0138126	0.0227018	0.694409	0.242289
