 	sto	ancora	cucinando	</S>
s	0.915716	0.0445655	0.0166705	0.0230477
t	0.622477	0.225581	0.0643481	0.0875931
e	0.425132	0.218472	0.071265	0.285132
a	0.467649	0.236041	0.0692609	0.227049
n	0.329039	0.277831	0.121896	0.271234
k	0.0540427	0.637616	0.0837739	0.224567
ò	0.0738272	0.185055	0.178025	0.563093
r	0.0735416	0.589674	0.104665	0.23212
a	0.223725	0.261005	0.217647	0.297623
m	0.0446034	0.10134	0.323889	0.530167
a	0.011659	0.142624	0.484298	0.361418
r	0.0322792	0.0478507	0.18376	0.736111
è	0.00350762	0.00912032	0.450316	0.537057
o	0.0154698	0.0401702	0.308609	0.635751
n	0.0306126	0.0377597	0.492509	0.439119
t	0.00376831	0.0557583	0.53595	0.404524
a	0.0187127	0.0749601	0.189614	0.716713
</S>	0.0175407	0.0428542	0.223691	0.715914
