 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.865048	0.0319395	0.0185733	0.0163254	0.0161444	0.0174343	0.034535
ì	0.287109	0.492818	0.0381257	0.0149347	0.0237687	0.0472542	0.0959897
s	0.691645	0.198701	0.0263906	0.0173955	0.0216379	0.0246076	0.0196222
i	0.160853	0.388712	0.303956	0.0490981	0.0272717	0.0490556	0.0210542
f	0.101158	0.592944	0.113811	0.0564515	0.0224481	0.0453499	0.0678379
a	0.0380462	0.438345	0.271951	0.068622	0.0177535	0.0319411	0.133342
m	0.0471686	0.561076	0.192771	0.0577202	0.01594	0.0476431	0.0776804
ì	0.0242728	0.0308215	0.180212	0.235717	0.0611889	0.0889927	0.378795
g	0.0154117	0.194741	0.453275	0.284941	0.0173209	0.0111753	0.0231347
l	0.0250731	0.077121	0.231593	0.194657	0.0346534	0.0686445	0.368258
i	0.0400197	0.0905748	0.315804	0.195209	0.0644104	0.0903843	0.203598
a	0.0214167	0.0525481	0.188133	0.361652	0.123005	0.133785	0.119461
e	0.0257203	0.0316103	0.0901161	0.274057	0.216883	0.148411	0.213202
n	0.0221306	0.0283327	0.0578778	0.200672	0.303673	0.169684	0.217631
è	0.00955185	0.0344311	0.0848693	0.0988888	0.318718	0.226095	0.227446
c	0.00777565	0.0238118	0.0238688	0.0977162	0.344004	0.336568	0.166255
h	0.00869732	0.0555528	0.0570627	0.0615996	0.132352	0.528532	0.156204
i	0.0241074	0.0266373	0.0584309	0.0882132	0.202342	0.201282	0.398987
n	0.0143791	0.00818182	0.0133197	0.0453199	0.0792495	0.309002	0.530548
a	0.00376016	0.00235833	0.00976635	0.0291588	0.193538	0.513167	0.248251
f	0.0148893	0.00836859	0.00906571	0.0194281	0.0455722	0.416851	0.485825
à	0.00216876	0.00175343	0.00755731	0.0178362	0.114988	0.65457	0.201126
i	0.00440206	0.00595738	0.00420937	0.0124437	0.0360506	0.779909	0.157028
</S>	0.0106761	0.00626565	0.0074412	0.0229458	0.0462408	0.596256	0.310175
