 	tutto	il	cibo	vuole	girato	</S>
ò	0.956612	0.0280079	0.00452566	0.00359836	0.0025463	0.00471015
l	0.58281	0.120158	0.0334508	0.0431096	0.141706	0.0787655
o	0.121029	0.558987	0.148351	0.0269006	0.0192274	0.125505
o	0.118179	0.656848	0.0764792	0.017669	0.0574372	0.0733876
m	0.0899048	0.193712	0.502725	0.0354702	0.0505507	0.127637
a	0.0235744	0.040216	0.24015	0.404919	0.0580084	0.233133
r	0.0601184	0.088017	0.485756	0.16453	0.037681	0.163898
ì	0.0238579	0.0390289	0.283718	0.458173	0.0278374	0.167384
o	0.016886	0.0480108	0.421024	0.445371	0.014216	0.0544924
t	0.0318475	0.0439291	0.219262	0.541175	0.0502912	0.113495
è	0.0172455	0.0202537	0.101435	0.275343	0.0825889	0.503134
l	0.0188065	0.0333645	0.126448	0.492055	0.132865	0.196461
i	0.0112543	0.0289036	0.159684	0.224633	0.193932	0.381594
v	0.0199149	0.0217177	0.0277418	0.0712004	0.380313	0.479112
o	0.00214694	0.0048785	0.0329008	0.10648	0.715534	0.138059
t	0.00769449	0.00901019	0.0109967	0.0180895	0.650016	0.304193
i	0.00151828	0.00210155	0.00599723	0.0254127	0.745051	0.21992
m	0.00475426	0.00571217	0.00650787	0.0115635	0.63833	0.333133
m	0.0017873	0.0042372	0.0213574	0.0829505	0.758581	0.131086
è	0.00240015	0.00699894	0.0148132	0.140946	0.571347	0.263495
n	0.00397508	0.00641575	0.0139925	0.0194608	0.50335	0.452806
o	0.00431084	0.0064815	0.0141826	0.0288657	0.619083	0.327076
</S>	0.00910348	0.00943153	0.0118024	0.0281957	0.563289	0.378178
