 	non	ti	dimentichiamo	mai	</S>
e	0.933836	0.0449992	0.00572131	0.00592025	0.00952341
s	0.610716	0.329186	0.00795327	0.0215103	0.0306339
e	0.19365	0.528342	0.06252	0.036543	0.178945
a	0.191167	0.727242	0.0231151	0.0220401	0.0364352
l	0.214445	0.440236	0.1652	0.0483542	0.131765
l	0.0280032	0.0848793	0.680297	0.0373898	0.169431
i	0.0526209	0.0837195	0.261074	0.0881379	0.514448
m	0.0373606	0.0439919	0.458829	0.15208	0.307739
o	0.00688067	0.0159008	0.33985	0.309527	0.327842
n	0.0162968	0.017032	0.220053	0.289132	0.457486
ù	0.0031372	0.00635681	0.275145	0.352628	0.362733
m	0.00694396	0.0108085	0.173812	0.566824	0.241612
e	0.00757027	0.0140059	0.178438	0.338994	0.460993
m	0.0205609	0.0196129	0.0581693	0.548687	0.35297
à	0.00383914	0.00674324	0.097318	0.458313	0.433786
i	0.0111723	0.0114497	0.0924362	0.459663	0.425279
</S>	0.0160606	0.0163006	0.0394235	0.42179	0.506425
