 	non	ci	dimentichiamo	mai	</S>
e	0.962748	0.0151818	0.00536196	0.00575468	0.0109537
n	0.849424	0.0699261	0.00956069	0.0292285	0.0418604
è	0.199971	0.599663	0.0140161	0.0328896	0.15346
n	0.449354	0.518675	0.00573546	0.0188861	0.00734944
a	0.187359	0.48157	0.0638583	0.0378491	0.229364
a	0.0702438	0.738746	0.0582203	0.073448	0.0593423
l	0.0732278	0.324113	0.299058	0.0807917	0.222809
l	0.00774375	0.0897703	0.588746	0.0754734	0.238267
i	0.0224879	0.0449308	0.434275	0.116659	0.381647
m	0.0116696	0.0236533	0.504598	0.180911	0.279168
o	0.00564443	0.017252	0.374427	0.230397	0.37228
n	0.00739208	0.0100635	0.23083	0.235992	0.515722
i	0.00253992	0.00858316	0.339039	0.296012	0.353825
s	0.00771852	0.00880576	0.109368	0.381561	0.492546
t	0.00220256	0.0029416	0.0914318	0.508192	0.395232
ù	0.00178956	0.0036854	0.0691342	0.530424	0.394967
m	0.0023992	0.00627154	0.0816677	0.615934	0.293727
e	0.00697727	0.0173781	0.253189	0.294504	0.427952
s	0.0120131	0.0099671	0.0259796	0.511123	0.440917
t	0.00357328	0.00330456	0.0372369	0.544404	0.411481
a	0.00327922	0.00383779	0.0252211	0.63566	0.332002
m	0.009234	0.00949034	0.0448545	0.448926	0.487495
à	0.00148661	0.00773987	0.207739	0.514529	0.268505
i	0.00410943	0.00561527	0.0643733	0.50991	0.415992
</S>	0.00990995	0.0105698	0.0347197	0.407865	0.536936
