 	non	aveva	da	stare	</S>
e	0.931253	0.0440897	0.00563138	0.00690452	0.012121
n	0.679525	0.183659	0.00927225	0.0308808	0.0966631
ì	0.155025	0.341577	0.0816149	0.166518	0.255266
c	0.165983	0.734285	0.0270377	0.0298641	0.0428304
h	0.16473	0.468666	0.160942	0.063915	0.141746
e	0.133192	0.223092	0.336179	0.12881	0.178727
n	0.0250595	0.110741	0.666667	0.0381493	0.159383
a	0.0210567	0.0457597	0.490455	0.140075	0.302654
s	0.00547312	0.00820991	0.113252	0.671627	0.201437
t	0.00145768	0.00207333	0.0277004	0.844926	0.123843
a	0.00139568	0.00178132	0.0260644	0.750277	0.220482
s	0.00318655	0.00367893	0.0189267	0.625551	0.348657
ì	0.000841364	0.00146439	0.0194154	0.567425	0.410854
</S>	0.00280939	0.00389965	0.0186101	0.567406	0.407275
