 	non	so	cosa	stai	scrivendo	</S>
e	0.957672	0.0228546	0.00503509	0.00429657	0.00347869	0.00666365
n	0.636865	0.276307	0.0106471	0.00672094	0.0401378	0.0293216
e	0.154826	0.508829	0.121539	0.0139227	0.0510226	0.149862
t	0.2824	0.534648	0.0374135	0.00770383	0.10101	0.0368248
s	0.0867132	0.370367	0.18263	0.0327915	0.104459	0.22304
è	0.118253	0.505799	0.197046	0.0122303	0.0894757	0.077195
r	0.0988593	0.503744	0.321592	0.0166361	0.0353386	0.0238307
o	0.0719881	0.283821	0.35419	0.162097	0.0366737	0.0912305
e	0.076388	0.234822	0.465954	0.142179	0.0483953	0.0322612
s	0.0918465	0.128071	0.276747	0.36513	0.055951	0.0822555
ù	0.0293907	0.0870908	0.15204	0.335691	0.0541409	0.341647
t	0.042749	0.0579842	0.146108	0.585818	0.0375253	0.129816
i	0.0222114	0.0416654	0.143567	0.362657	0.126992	0.302907
s	0.0526079	0.0559092	0.0713542	0.348449	0.274807	0.196873
t	0.0149546	0.0166176	0.0357347	0.237301	0.238249	0.457144
e	0.016658	0.0169622	0.0201042	0.148722	0.217948	0.579606
g	0.0108352	0.0124387	0.0138828	0.0388246	0.62081	0.303209
r	0.00263441	0.00520366	0.0286541	0.10267	0.41581	0.445027
à	0.00559549	0.00631737	0.00704953	0.0181457	0.534859	0.428033
f	0.00291655	0.00358302	0.00492464	0.0156915	0.852648	0.120237
i	0.00136024	0.00220174	0.00809431	0.0321531	0.487273	0.468918
</S>	0.0170604	0.0171608	0.0177006	0.0186522	0.783542	0.145884
