 	ora	che	loro	non	vengono	più	</S>
à	0.958329	0.0223388	0.00654501	0.00263997	0.00250129	0.00251781	0.00512827
r	0.504197	0.157482	0.0623735	0.0605286	0.0722676	0.0811134	0.0620384
t	0.342506	0.344053	0.184353	0.0271146	0.023734	0.0480211	0.0302178
e	0.102719	0.312796	0.397069	0.0436795	0.0283477	0.0619613	0.053428
k	0.101362	0.582681	0.121154	0.0448473	0.0225736	0.0523066	0.0750756
a	0.0278764	0.217665	0.567134	0.0582564	0.0149492	0.0529621	0.0611571
c	0.0496236	0.320699	0.332601	0.061467	0.0206357	0.061065	0.153908
ì	0.0161059	0.185468	0.449958	0.183055	0.0499545	0.0501802	0.0652784
n	0.0304244	0.173712	0.563998	0.160458	0.0297969	0.0095891	0.0320222
i	0.0319494	0.190909	0.449091	0.088864	0.026857	0.0819152	0.130415
e	0.0161093	0.0506458	0.182339	0.554307	0.126396	0.0247028	0.0455004
n	0.0200313	0.0303604	0.143839	0.50773	0.194348	0.0435835	0.0601078
è	0.0102151	0.0663924	0.272453	0.203538	0.219614	0.0833466	0.144441
r	0.0100003	0.0286029	0.0429682	0.328529	0.369076	0.0408364	0.179988
k	0.00780655	0.0186923	0.139824	0.258635	0.239496	0.125113	0.210434
o	0.0183908	0.0239991	0.0793542	0.309016	0.154511	0.179229	0.2355
t	0.0126701	0.0156582	0.033637	0.0815553	0.13856	0.435005	0.282915
t	0.0141811	0.0194108	0.0479498	0.108022	0.119249	0.279791	0.411397
e	0.0109019	0.0143309	0.0366384	0.0795149	0.101536	0.398663	0.358415
p	0.00333852	0.00439207	0.00893626	0.0132229	0.0225713	0.578437	0.369102
l	0.000587893	0.00127246	0.00740914	0.0177863	0.0444558	0.871178	0.0573102
è	0.0115758	0.0118735	0.0137487	0.032083	0.0644647	0.495833	0.370421
o	0.00275278	0.0044534	0.0116368	0.0238137	0.029608	0.714442	0.213293
</S>	0.00725593	0.00485551	0.00705074	0.0196915	0.0282275	0.70502	0.227898
