 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.782192	0.149492	0.0194478	0.00970669	0.00909114	0.0102142	0.0198561
i	0.278998	0.303157	0.101979	0.0522635	0.0427116	0.0855515	0.13534
ù	0.332452	0.39635	0.0282515	0.0160936	0.0337739	0.110356	0.0827225
m	0.12406	0.79077	0.0266588	0.0117958	0.00773247	0.0189905	0.019992
è	0.0551246	0.177987	0.324551	0.300509	0.0250388	0.0409933	0.0757961
s	0.105481	0.693709	0.142745	0.0360527	0.00542172	0.00765178	0.00893889
a	0.0712597	0.360568	0.298379	0.203105	0.0364379	0.0197081	0.0105417
è	0.0526704	0.26392	0.447355	0.125665	0.0155535	0.0298928	0.0649438
n	0.0307435	0.150453	0.571042	0.20347	0.00865109	0.0164495	0.0191904
a	0.0260016	0.120749	0.302582	0.375834	0.0447368	0.0237582	0.106338
v	0.0332322	0.0880121	0.331641	0.402405	0.0323862	0.0305948	0.0817288
à	0.00920494	0.0259989	0.143821	0.331948	0.333292	0.0542543	0.101481
l	0.020358	0.0498129	0.300564	0.473545	0.0808646	0.0156373	0.0592188
i	0.0269009	0.0662835	0.178715	0.297722	0.0921721	0.0785648	0.259642
è	0.0165541	0.0396248	0.125558	0.313401	0.331067	0.0467738	0.127021
n	0.0127123	0.0305927	0.116077	0.204017	0.436003	0.102177	0.0984204
a	0.00769257	0.014166	0.0685776	0.16639	0.42327	0.183711	0.136193
t	0.00747352	0.0133864	0.0234285	0.0308653	0.158221	0.533208	0.233418
a	0.00212652	0.00264825	0.0101217	0.0261553	0.180288	0.683791	0.0948691
p	0.00194079	0.00249765	0.00466453	0.00669795	0.025908	0.830379	0.127912
p	0.00150792	0.00410129	0.027063	0.0524623	0.184264	0.642934	0.0876671
è	0.0021176	0.00514345	0.0100162	0.0158367	0.0731205	0.664161	0.229604
t	0.00148225	0.00278667	0.00976031	0.0148103	0.0250982	0.719201	0.226862
o	0.00149644	0.00143078	0.00375275	0.00843694	0.0276646	0.71505	0.242169
</S>	0.00608552	0.00387885	0.00507642	0.00889092	0.0239322	0.622345	0.329791
