 	il	morto	vuole	pianto	</S>
o	0.976297	0.0144633	0.00289152	0.00218698	0.00416141
p	0.807272	0.0960669	0.00725415	0.0574829	0.0319239
e	0.142526	0.686723	0.0236531	0.0397132	0.107384
s	0.468792	0.391674	0.00723969	0.0868377	0.0454571
a	0.134326	0.683828	0.0343381	0.0450706	0.102437
m	0.161889	0.705	0.00655218	0.0722878	0.0542711
m	0.0850682	0.559902	0.192939	0.0530321	0.109059
è	0.105503	0.675036	0.145173	0.0408113	0.0334772
n	0.134364	0.786353	0.0513187	0.0185834	0.00938022
o	0.143353	0.481003	0.105411	0.0939662	0.176266
t	0.165218	0.219473	0.355603	0.10109	0.158616
è	0.0645422	0.0747246	0.263143	0.130872	0.466718
l	0.0589131	0.112134	0.566756	0.0904725	0.171725
i	0.0169214	0.0732091	0.268063	0.108268	0.533538
g	0.0682714	0.0693104	0.145332	0.433356	0.283731
l	0.0151033	0.065087	0.256944	0.124506	0.538359
a	0.0473381	0.0498679	0.10186	0.275554	0.525381
m	0.0291284	0.0226667	0.0371236	0.353871	0.557211
m	0.0115506	0.0388304	0.1756	0.293605	0.480414
è	0.00907139	0.0239859	0.0972535	0.220039	0.64965
n	0.0389113	0.088792	0.139545	0.353848	0.378904
o	0.0146462	0.0221138	0.0537033	0.312278	0.597259
</S>	0.0374007	0.0379667	0.0575618	0.327074	0.539996
